代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
3592,瑞鼎,270.0,-4.5,-1.64,07/03,-1,-6,-0.46,-0.01,10,791,5.55,1.04,-1,-19,-1.43,-0.03,3,458,9.09,0.6
4961,天鈺,173.0,7.0,4.22,07/03,1,394,31.0,0.32,10,510,4.16,0.42,2,15,0.63,0.01,3,828,22.6,0.68
5269,祥碩,1530.0,10.0,0.66,07/03,-1,-81,-4.48,-0.11,10,1620,12.9,2.18,-1,-2,-0.11,0.0,5,1602,18.7,2.16
2376,技嘉,338.5,0.0,0.0,07/03,-3,-5566,-38.6,-0.83,9,8382,13.4,1.25,2,275,3.33,0.04,1,41,1.07,0.01
8046,南電,1185.0,40.0,3.49,07/03,-2,-3923,-16.2,-0.61,9,9455,4.82,1.46,-1,-43,-0.33,-0.01,-2,-2002,-8.26,-0.31
2379,瑞昱,783.0,-28.0,-3.45,07/03,-9,-13165,-21.5,-2.55,8,7405,13.9,1.44,-7,-693,-1.49,-0.13,-2,-1956,-22.0,-0.38
3045,台灣大,116.5,-2.0,-1.69,07/03,-6,-46814,-47.3,-1.26,8,28366,24.6,0.76,6,1830,1.85,0.05,-4,-18667,-24.8,-0.5
6548,長科*,91.6,1.0,1.1,07/03,-2,-686,-1.92,-0.07,8,4492,3.6,0.47,-1,-23,-0.1,0.0,3,3022,6.83,0.32
1785,光洋科,156.0,4.0,2.63,07/03,3,6961,9.51,1.17,7,320,0.25,0.05,-1,-210,-0.53,-0.04,3,7392,10.1,1.24
3017,奇鋐,2760.0,20.0,0.73,07/03,5,3288,14.2,0.84,7,2737,8.14,0.7,-1,-59,-1.27,-0.02,5,5846,25.2,1.49
3037,欣興,969.0,-10.0,-1.02,07/03,-2,-15144,-31.6,-0.95,7,13765,5.38,0.87,2,380,0.79,0.02,-2,-13975,-29.1,-0.88
6139,亞翔,948.0,9.0,0.96,07/03,-4,-4384,-17.7,-1.86,7,3556,6.76,1.51,2,73,0.66,0.03,2,878,7.97,0.37
6213,聯茂,394.0,35.5,9.9,07/03,1,1532,5.01,0.42,7,3327,1.95,0.92,1,754,2.47,0.21,2,2330,4.5,0.64
6691,洋基工程,762.0,-4.0,-0.52,07/03,-6,-2571,-27.6,-2.12,7,2573,23.2,2.12,-1,-7,-0.65,-0.01,-1,-50,-4.94,-0.04
1560,中砂,756.0,-13.0,-1.69,07/03,-1,-213,-30.1,-0.14,6,550,6.82,0.37,-1,-24,-3.45,-0.02,-1,-230,-32.6,-0.15
1717,長興,81.6,7.4,9.97,07/03,2,15945,23.2,1.36,6,1177,1.01,0.1,2,1126,1.64,0.1,2,17776,25.9,1.52
2347,聯強,94.8,1.8,1.94,07/03,-6,-22218,-42.9,-1.33,6,19591,37.8,1.17,11,1001,1.14,0.06,-2,-1969,-10.8,-0.12
2352,佳世達,32.2,0.3,0.94,07/03,-4,-18150,-13.1,-1.15,6,33429,17.4,2.12,3,330,0.34,0.02,1,1767,7.7,0.11
2356,英業達,67.6,0.4,0.6,07/03,-3,-15125,-17.5,-0.42,6,27926,15.2,0.78,4,2955,2.37,0.08,2,5408,11.3,0.15
2458,義隆,184.0,-1.5,-0.81,07/03,-4,-7394,-16.9,-2.43,6,7637,11.2,2.51,-3,-126,-0.42,-0.04,-1,-232,-3.91,-0.08
2474,可成,207.0,5.5,2.73,07/03,-15,-24405,-22.8,-4.53,6,8052,17.8,1.49,2,1027,5.99,0.19,1,1804,15.7,0.33
3023,信邦,336.5,6.5,1.97,07/03,-6,-6406,-32.1,-2.67,6,6281,31.4,2.62,3,111,1.17,0.05,-2,-969,-14.2,-0.4
3661,世芯-KY,4650.0,-245.0,-5.01,07/03,-2,-879,-12.0,-1.07,6,117,0.78,0.14,-1,-73,-2.5,-0.09,-2,-684,-9.31,-0.83
3706,神達,91.0,-2.3,-2.47,07/03,-2,-18793,-30.9,-1.42,6,31763,16.1,2.39,-1,-740,-2.98,-0.06,-1,-6723,-27.1,-0.51
