排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
277,2838,聯邦銀,22.25,-0.2,-0.89,06/29,0.35,0.23,0.18,0.13,0.07,0.12,0.15,5.28,2.58,0.98,0.74,5.31
278,3617,碩天,213.5,5.0,2.4,06/29,0.0,0.26,0.15,0.12,0.09,0.06,0.24,6.62,6.19,2.05,2.0,5.36
279,2727,王品,249.0,2.5,1.01,06/29,0.0,0.0,0.16,0.12,0.14,0.3,1.96,1.26,3.14,1.74,1.01,1.27
280,1560,中砂,738.0,35.0,4.98,06/29,0.0,0.0,0.0,0.12,0.66,0.96,2.19,3.29,3.74,2.61,1.79,3.41
281,2609,陽明,51.4,1.3,2.59,06/29,0.38,0.16,0.14,0.12,0.42,28.2,15.3,7.5,7.79,2.87,1.17,7.54
282,2243,宏旭-KY,53.2,0.2,0.38,06/29,0.0,0.0,0.06,0.12,0.03,0.02,0.02,0.01,0.01,0.0,,0.01
283,3563,牧德,660.0,-3.0,-0.45,06/29,0.0,0.0,0.07,0.11,7.4,5.15,1.56,1.33,1.52,0.83,1.46,1.35
284,3189,景碩,810.0,13.0,1.63,06/29,0.02,0.02,0.15,0.11,0.37,1.97,2.02,1.07,1.02,1.48,1.91,1.08
285,8112,至上,92.1,0.9,0.99,06/29,0.04,0.07,0.15,0.11,0.19,0.47,1.16,0.57,0.35,0.2,0.11,0.93
286,3645,達邁,87.3,0.2,0.23,06/29,0.0,0.0,0.04,0.11,0.05,0.03,0.01,0.0,0.02,0.02,0.52,0.0
287,3014,聯陽,157.5,3.0,1.94,06/29,0.2,0.22,0.14,0.11,0.09,0.15,0.44,1.25,2.56,5.2,1.79,1.18
288,6180,橘子,50.1,1.1,2.24,06/29,0.2,0.2,0.18,0.11,0.06,0.04,0.19,1.72,2.3,0.63,0.2,1.66
289,2106,建大,17.1,0.25,1.48,06/29,0.59,0.23,0.17,0.11,0.06,0.06,0.04,0.1,0.08,0.21,1.5,0.1
290,1597,直得,138.0,-1.5,-1.08,06/29,0.0,0.0,0.03,0.11,0.04,0.02,0.01,0.01,0.01,0.11,0.72,0.01
291,9939,宏全,127.0,-2.0,-1.55,06/29,0.06,0.03,0.02,0.1,0.12,0.55,1.77,1.07,0.6,0.3,0.07,1.54
292,1717,長興,72.9,3.4,4.89,06/29,0.04,0.01,0.02,0.1,0.22,0.4,0.63,0.38,0.32,0.29,0.38,0.38
293,5484,慧友,45.6,1.7,3.87,06/29,0.0,0.0,0.0,0.1,0.05,0.02,0.12,0.12,0.08,0.02,0.01,0.12
294,2610,華航,23.1,-0.1,-0.43,06/29,0.35,0.15,0.08,0.09,0.09,0.52,2.07,3.24,3.87,1.94,0.97,3.19
295,8114,振樺電,182.5,-2.5,-1.35,06/29,0.0,0.24,0.14,0.09,0.07,0.04,0.23,0.14,0.09,0.04,0.02,0.15
296,1723,中碳,83.0,-0.6,-0.72,06/29,0.0,0.0,0.0,0.09,0.34,0.16,0.58,0.37,0.46,3.28,1.54,0.37
297,2355,敬鵬,52.8,1.1,2.13,06/29,0.0,0.0,0.03,0.09,0.03,0.25,0.18,0.14,0.17,0.13,0.42,0.14
298,2834,臺企銀,17.8,0.05,0.28,06/29,0.29,0.15,0.09,0.08,0.24,0.15,0.15,0.15,0.38,1.07,0.47,0.14
299,1504,東元,69.0,1.1,1.62,06/29,0.42,0.12,0.1,0.08,0.59,1.18,0.78,1.36,3.34,3.74,2.44,1.17
300,1528,恩德,23.5,0.6,2.62,06/29,0.0,0.0,0.03,0.08,0.06,0.02,0.03,0.02,0.01,0.01,0.01,0.02
