"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"197","2480","敦陽科","148","+1","+0.68","05/08","1.57","2.24","1.69","0.78","0.45","0.55","0.36","1.5","1.35","0.92","0.93","0.52"
"198","3680","家登","560","-25","-4.27","05/08","0","1.86","1.2","0.77","0.41","1.17","1.35","0.91","1.15","3.9","1.95","1.13"
"199","4906","正文","40","+1.3","+3.36","05/08","0","0","0.01","0.77","0.83","0.32","0.15","0.18","0.24","0.2","0.27","0.16"
"200","3289","宜特","175.5","-3.5","-1.96","05/08","0","0","0","0.77","0.55","0.21","0.09","0.14","0.14","1.2","1.68","0.08"
"201","1307","三芳","32.2","+0.7","+2.22","05/08","0","1.99","1.38","0.75","0.44","0.98","0.21","0.34","1.11","0.98","0.74","0.45"
"202","1303","南亞","88.6","-1.7","-1.88","05/08","0.07","0.21","0.13","0.73","1.19","2.71","1.9","1.47","2.59","2.93","2.46","1.57"
"203","6409","旭隼","821","+31","+3.92","05/08","0.12","0.12","0.1","0.71","0.52","0.57","0.41","0.48","0.42","0.62","0.8","0.54"
"204","3413","京鼎","315.5","+6.5","+2.1","05/08","0","1.22","0.92","0.7","1.52","2.59","1.37","2.21","1.99","2.69","1.84","1.33"
"205","2313","華通","253.5","+4","+1.6","05/08","0","0.69","1.23","0.68","1.64","2.41","1.16","1.08","1.02","2.06","2.05","1.13"
"206","3023","信邦","302.5","-7.5","-2.42","05/08","0","0.69","0.43","0.68","5.06","9.75","5.48","4.14","3.11","3.33","2.7","4.27"
"207","6683","雍智科技","2210","-175","-7.34","05/08","0","0.37","0.68","0.66","0.3","0.34","0.39","0.44","0.58","0.99","","0.36"
"208","2892","第一金","29.5","+0.35","+1.2","05/08","0","0.33","0.24","0.66","0.82","2.62","1.76","17.1","15.5","8.65","3.5","1.99"
"209","6768","志強-KY","87.5","+3.1","+3.67","05/08","0.65","0.99","0.92","0.66","0.42","0.82","2.17","5.98","3.9","2.56","","5.92"
"210","2377","微星","100","-1","-0.99","05/08","0","0","0.27","0.65","0.42","0.41","0.38","4.46","5.63","4.88","3.76","0.47"
"211","2890","永豐金","31","+0.1","+0.32","05/08","0.45","0.54","0.41","0.64","4.78","13.8","6.71","5.32","11","8.41","3.66","6.17"
"212","2886","兆豐金","40.2","+0.55","+1.39","05/08","0.03","0.17","0.18","0.61","4.67","10.3","5.27","6.43","9.9","6.82","3.64","5.08"
"213","6568","宏觀","233","-12","-4.9","05/08","4.93","1.97","1","0.6","0.32","0.12","0.04","0.03","0.02","0.09","","0.03"
"214","3040","遠見","40.9","-1.45","-3.42","05/08","0","0.24","0.34","0.58","0.34","0.12","0.03","0.01","0","0","0.01","0.02"
"215","3090","日電貿","113.5","-2.5","-2.16","05/08","0","0","0","0.57","0.79","0.73","1.39","1.53","1.73","1.31","0.64","2.37"
"216","4772","台特化","321.5","+13.5","+4.38","05/08","0","0","0","0.57","0.65","0.35","0.5","0.52","0.68","","","0.51"
