排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
21,6147,頎邦,178.5,-19.5,-9.85,07/17,-879,-3078,-5495,-6589,-13916,-22620,-10327.0,17655.0,0.0,17368.0
22,3036,文曄,188.5,-7.5,-3.83,07/17,-759,-1325,-4947,-5999,-7873,-8883,29007.0,53204.0,59107.0,47225.0
23,2889,國票金,15.7,-0.15,-0.95,07/17,473,-3958,-4760,-5299,-6925,-12772,-5984.0,4878.0,-37220.0,4465.0
24,2357,華碩,700.0,-15.0,-2.1,07/17,-357,-1137,-4604,-5141,-13177,-12311,-15410.0,-1553.0,31325.0,8361.0
25,4938,和碩,82.2,-1.0,-1.2,07/17,-1765,-1643,-3221,-4955,-15117,-14458,101740.0,101364.0,115744.0,82856.0
26,2845,遠東銀,13.4,-0.15,-1.11,07/17,88,-2757,-3269,-4813,-5897,-6339,43577.0,58206.0,52143.0,58183.0
27,00881,國泰台灣科技龍頭,49.53,-3.52,-6.64,07/17,240,-1286,-1344,-4144,-5059,-12422,-17610.0,-19585.0,1666.0,-1388.0
28,1609,大亞,36.8,-1.8,-4.66,07/17,-103,-2885,-3918,-3922,-5961,-2584,5698.0,1936.0,6803.0,-1710.0
29,2867,三商壽,8.98,0.07,0.79,07/17,-30,-30,-1523,-3729,-2888,-2349,-881.0,1626.0,1626.0,1626.0
30,1326,台化,66.1,-2.8,-4.06,07/17,1144,-9507,-8312,-3698,2812,-31318,-67739.0,-88134.0,-125171.0,-100111.0
31,00713,元大台灣高息低波,60.25,-0.65,-1.07,07/17,0,-262,-368,-3591,-2060,-3345,-337.0,-5457.0,-30303.0,-17250.0
32,2324,仁寶,36.0,0.05,0.14,07/17,2421,-6821,-7331,-3266,-17714,-53863,-302129.0,-196087.0,88050.0,-177625.0
33,1308,亞聚,14.35,-0.7,-4.65,07/17,-3023,-2901,-3298,-3134,-4075,-5572,-9211.0,9372.0,7458.0,10220.0
34,0056,元大高股息,50.75,-1.9,-3.61,07/17,3668,5871,2318,-3133,-17534,-14314,-61960.0,-50761.0,-41360.0,-66249.0
35,3149,正達,79.6,-13.9,-14.9,07/17,49,222,-597,-3103,-4563,-1485,-215.0,-2501.0,2874.0,-1626.0
36,3034,聯詠,460.5,-11.0,-2.33,07/17,530,-825,-1732,-2854,-4015,-14312,-17070.0,-11632.0,6076.0,-15475.0
37,6415,矽力*-KY,435.0,-38.0,-8.03,07/17,-163,-2296,-2400,-2816,-3329,-2844,-10323.0,694.0,-5674.0,2935.0
38,8105,凌巨,16.65,-1.0,-5.67,07/17,84,-2788,-2769,-2732,-4257,-4869,4525.0,-529.0,3976.0,4827.0
39,00405A,主動富邦台灣龍耀,7.75,-0.69,-8.18,07/17,2432,-1408,-1408,-2603,27118,25076,,,,
40,00632R,元大台灣50反1,10.83,0.69,6.8,07/17,-143,-943,-2302,-2418,-24,-4006,15519.0,28025.0,56308.0,47782.0
41,1907,永豐餘,28.15,-0.25,-0.88,07/17,-349,-1732,-1711,-2413,-2290,-4565,-3331.0,-354.0,-97.0,1949.0
42,2646,星宇航空,21.2,-0.35,-1.62,07/17,-1335,-1911,-2475,-2370,-5369,-7457,-21819.0,-3901.0,63972.0,602.0
43,2812,台中銀,20.55,0.3,1.48,07/17,-227,-74,537,-2337,-18120,-50881,46733.0,73814.0,92316.0,77917.0
44,3035,智原,184.0,-19.5,-9.58,07/17,111,-473,-1080,-2241,-3982,-8798,-13844.0,-13867.0,208.0,-13929.0
45,9907,統一實,15.1,-0.2,-1.31,07/17,-587,-669,-777,-2217,-5959,-9684,30244.0,32991.0,34627.0,33243.0
46,3714,富采,52.5,-5.2,-9.01,07/17,605,-2096,-2736,-2202,761,-7290,12390.0,22497.0,28184.0,24677.0
47,3090,日電貿,194.5,-14.5,-6.94,07/17,-157,-1482,-1830,-2148,-2114,-1090,1148.0,-4784.0,4381.0,-3676.0
48,4306,炎洲,14.75,-0.45,-2.96,07/17,44,53,57,-2064,-1993,-2780,-3309.0,-3988.0,-5360.0,-5307.0
49,1718,中纖,13.65,-1.0,-6.83,07/17,-1057,-2069,-2043,-2043,-286,5176,13514.0,13479.0,15307.0,13805.0
50,4114,健喬,29.6,-0.4,-1.33,07/17,34,-212,-2184,-2040,-3770,-3708,1446.0,2504.0,4446.0,2244.0
51,00955,中信日本商社,14.1,-0.43,-2.96,07/17,-16,-1997,-2015,-2015,-2608,-2786,-661.0,-3083.0,13138.0,4304.0
52,00942B,台新美A公司債20+,14.27,0.05,0.35,07/17,0,0,0,-2000,-3052,2448,1448.0,2918.0,1830.0,2918.0
53,5388,中磊,83.3,-3.3,-3.81,07/17,-244,-1129,-1097,-1977,-2082,2399,-6008.0,6839.0,10797.0,7053.0
54,3005,神基,110.0,-3.5,-3.08,07/17,125,-1363,-1839,-1932,-6228,-5687,-12238.0,22455.0,20903.0,23073.0
55,2489,瑞軒,32.15,-3.05,-8.66,07/17,-716,-1982,-3572,-1879,3232,456,2094.0,38376.0,38856.0,40046.0
56,3044,健鼎,397.5,-24.5,-5.81,07/17,30,-901,-1009,-1845,-1797,-2034,-4103.0,-3181.0,-677.0,-4290.0
57,3711,日月光投控,614.0,-68.0,-9.97,07/17,-22,-1127,-1875,-1830,-11105,-26220,-13874.0,-366.0,-33728.0,1220.0
58,5425,台半,92.5,-9.5,-9.31,07/17,-324,-1965,-1773,-1828,-2327,-4138,-852.0,-2032.0,0.0,-1541.0
59,9941,裕融,82.4,-1.8,-2.14,07/17,-115,-1258,-1581,-1789,-3233,-2796,13682.0,10673.0,14248.0,13712.0
60,6257,矽格,214.5,-23.5,-9.87,07/17,718,-1517,-1714,-1735,-3463,-5440,-8472.0,-7386.0,-5583.0,-7357.0
61,2375,凱美,148.5,-16.0,-9.73,07/17,-51,-1598,-2144,-1716,-1271,-601,-846.0,-1273.0,867.0,-3346.0
62,4919,新唐,141.0,-15.5,-9.9,07/17,-1616,-2211,-2065,-1675,824,1036,-2811.0,6161.0,9860.0,7492.0
63,3605,宏致,79.3,-5.6,-6.6,07/17,-157,-828,-892,-1641,-2751,-4228,-4232.0,-4211.0,-2276.0,-3809.0
64,00900,富邦特選高股息30,18.0,-0.88,-4.66,07/17,61,64,-1665,-1634,-1150,-160,-15219.0,5141.0,-16852.0,-14058.0
65,00696B,富邦美債20年,29.07,0.14,0.48,07/17,-544,-544,-1544,-1599,-2199,-2627,-1787.0,-4867.0,-7669.0,-4542.0
66,3702,大聯大,109.5,-4.0,-3.52,07/17,108,-1044,-1004,-1590,-4643,-11204,-12612.0,2708.0,-7273.0,1481.0
67,00985A,主動野村台灣50,20.28,-1.32,-6.11,07/17,0,-1543,-1543,-1543,-1514,-1666,2842.0,1112.0,8504.0,-98.0
68,2359,所羅門,141.0,-6.0,-4.08,07/17,394,460,-1100,-1539,-2480,-2963,-3433.0,-4561.0,-2024.0,-5260.0
69,3029,零壹,102.5,-2.0,-1.91,07/17,-260,-1287,-1359,-1532,-2690,-3269,-1754.0,410.0,516.0,1651.0
70,2014,中鴻,17.05,-0.55,-3.12,07/17,-567,-763,-1193,-1516,-3414,-8464,-38920.0,-38099.0,-26964.0,-35698.0
71,00948B,中信優息投資級債,9.46,0.03,0.32,07/17,0,0,-1474,-1474,1371,1371,1314.0,280.0,-6141.0,-260.0
72,2520,冠德,35.7,-0.2,-0.56,07/17,-67,-1191,-1278,-1458,-1783,-1398,-2537.0,3197.0,-5421.0,-6914.0
73,00865B,國泰US短期公債,49.25,0.19,0.39,07/17,-1444,-1444,-1444,-1444,-3458,-3477,-338.0,3044.0,9520.0,3796.0
74,00830,國泰費城半導體,83.1,-5.95,-6.68,07/17,919,2312,2103,-1436,7477,1833,-3210.0,10035.0,19318.0,18952.0
75,2367,燿華,44.8,-3.6,-7.44,07/17,261,-1537,-1534,-1434,-2248,-1906,7793.0,1155.0,44762.0,9732.0
76,3661,世芯-KY,3480.0,-290.0,-7.69,07/17,-71,-705,-1085,-1418,-1550,-248,-2856.0,-852.0,223.0,812.0
77,6285,啟碁,234.5,-22.5,-8.75,07/17,256,-918,-1083,-1404,-3531,-3812,-9925.0,-13313.0,90.0,-7633.0
78,2201,裕隆,28.8,-0.1,-0.35,07/17,-749,-716,-825,-1396,-4421,-4142,-5217.0,5056.0,15695.0,9267.0
79,2049,上銀,306.0,-26.0,-7.83,07/17,247,-66,-438,-1385,-2389,-4019,-4483.0,-16340.0,-16069.0,-16919.0
80,1313,聯成,12.2,-0.65,-5.06,07/17,-211,-1663,-1496,-1379,-4752,-12273,-20709.0,6336.0,2067.0,6212.0
81,2101,南港,34.0,-0.55,-1.59,07/17,167,-1378,-1401,-1349,-2534,-3666,-6289.0,-3344.0,-8992.0,-2711.0
82,4906,正文,35.65,-2.1,-5.56,07/17,360,-781,-925,-1326,313,2119,-9352.0,15609.0,20110.0,16966.0
83,2478,大毅,142.5,-15.5,-9.81,07/17,-156,-576,-660,-1251,-1267,-2272,-1206.0,-2368.0,1068.0,-4135.0
84,2542,興富發,43.3,-0.05,-0.12,07/17,2041,3967,5132,-1238,-2138,4442,22887.0,26750.0,63125.0,25121.0
85,6505,台塑化,81.3,1.3,1.62,07/17,132,-1130,-996,-1165,-1684,-6531,-15005.0,-2362.0,-15855.0,-2859.0
86,1301,台塑,62.8,-2.8,-4.27,07/17,74,-222,498,-1131,-24145,-124307,-123667.0,-200833.0,-232046.0,-198755.0
87,5009,榮剛,33.5,-1.45,-4.15,07/17,-21,-730,-616,-1127,-2579,-3605,-5248.0,-1314.0,0.0,-2305.0
88,6244,茂迪,25.95,-0.55,-2.08,07/17,-62,-151,-519,-1105,-797,672,1362.0,814.0,0.0,6859.0
89,5351,鈺創,88.0,-9.7,-9.93,07/17,19,-910,-1169,-1079,-2487,-914,-1718.0,-2586.0,0.0,-8788.0
90,5289,宜鼎,1275.0,-120.0,-8.6,07/17,63,-713,-1036,-1057,-1098,-910,106.0,2596.0,0.0,1552.0
