"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"2912","統一超","239.5","-1.5","-0.62","07/13","+7","+6,335","27.6","0.61","+9","+770","2.8","0.07","+1","+18","0.77","0","+7","+6,681","29.1","0.64"
"5324","士開","12.05","0","0","07/13","+7","+1,719","63.8","0.76","0","0","0","0","0","0","0","0","+7","+1,719","63.8","0.76"
"6214","精誠","141","-2.5","-1.74","07/13","+7","+4,101","28.9","1.51","0","0","0","0","+1","+1","0.07","0","+7","+4,080","28.8","1.5"
"6226","光鼎","25.65","-0.95","-3.57","07/13","+7","+2,247","6.48","1.94","0","0","0","0","+2","+866","10.4","0.75","+7","+3,296","9.51","2.85"
"6491","晶碩","365.5","-9.5","-2.53","07/13","+7","+3,010","30.1","3.86","0","0","0","0","-3","-28","-1.5","-0.04","+7","+3,103","31","3.98"
"6965","中傑-KY","80","0","0","07/13","+7","+45","25.9","0.03","0","0","0","0","0","0","0","0","+6","+41","28.2","0.03"
"8467","波力-KY","110","-4.5","-3.93","07/13","+7","+35","27.1","0.07","0","0","0","0","0","0","0","0","+7","+35","27.1","0.07"
"1215","卜蜂","113.5","+1.5","+1.34","07/13","+6","+2,227","28.1","0.76","0","0","0","0","+1","+5","0.31","0","+2","+929","32","0.32"
"1216","統一","78.5","+0.1","+0.13","07/13","+6","+33,486","27.9","0.59","+16","+55,163","20.6","0.97","+11","+5,318","3.12","0.09","+8","+39,143","28.1","0.69"
"1220","台榮","11.45","-0.1","-0.87","07/13","+6","+52","6.51","0.03","0","0","0","0","+2","+7","1.58","0","+5","+57","8.05","0.03"
"1459","聯發","11.7","+0.05","+0.43","07/13","+6","+278","18.3","0.08","0","0","0","0","+1","+1","0.93","0","+6","+284","18.7","0.08"
"1783","和康生","40","-0.35","-0.87","07/13","+6","+189","25.5","0.21","0","0","0","0","-1","-3","-3.89","0","+6","+185","24.9","0.21"
"2023","燁輝","14.2","+0.3","+2.16","07/13","+6","+3,899","31.1","0.21","0","0","0","0","+1","+38","1.28","0","+6","+3,860","30.8","0.21"
"2207","和泰車","475","-1.5","-0.31","07/13","+6","+318","17.4","0.06","+4","+118","9.56","0.02","+1","+13","4.8","0","+6","+455","24.9","0.08"
"2385","群光","106","-1","-0.93","07/13","+6","+8,620","29.2","1.13","-1","-84","-2.25","-0.01","+1","+43","1.14","0.01","+6","+5,500","18.6","0.72"
"2527","宏璟","45.65","+3.05","+7.16","07/13","+6","+2,029","26.5","0.75","0","0","0","0","+1","+16","0.46","0.01","+6","+2,032","26.5","0.75"
"2606","裕民","63.9","+0.8","+1.27","07/13","+6","+8,576","37.9","1.01","-1","-65","-1.37","-0.01","-2","-121","-1.62","-0.01","+7","+8,007","32.1","0.95"
"2637","慧洋-KY","84.7","+1.7","+2.05","07/13","+6","+12,501","43","1.67","+3","+1,558","8.4","0.21","+5","+304","1.13","0.04","+6","+14,036","48.3","1.88"
"2884","玉山金","34.6","-0.15","-0.43","07/13","+6","+71,676","29","0.44","+3","+1,233","1.03","0.01","+1","+820","2.56","0.01","+9","+87,102","19.2","0.54"
"2889","國票金","15.85","+0.05","+0.32","07/13","+6","+25,378","30.4","0.7","0","0","0","0","+1","+63","0.53","0","+6","+25,521","30.5","0.7"
"2916","滿心","40.35","0","0","07/13","+6","+131","12.2","0.2","0","0","0","0","0","0","0","0","+6","+131","12.2","0.2"
"3596","智易","197","+3","+1.55","07/13","+6","+565","6.59","0.26","+18","+5,560","12.9","2.52","+1","+7","0.87","0","+6","+577","6.71","0.26"
"4167","松瑞藥","20.65","-0.3","-1.43","07/13","+6","+2,393","21.2","0.77","0","0","0","0","-2","-25","-1.48","-0.01","+6","+2,423","21.4","0.78"
"5222","全訊","126","+3","+2.44","07/13","+6","+394","8.73","0.43","0","0","0","0","-2","-5","-0.63","-0.01","+6","+395","8.75","0.43"
"5258","虹堡","54.6","+1.8","+3.41","07/13","+6","+806","24.1","0.73","0","0","0","0","+1","+3","0.29","0","+6","+806","24.1","0.73"
"5481","新華","20.65","-0.35","-1.67","07/13","+6","+204","14.5","0.29","0","0","0","0","+1","0","0.21","0","+6","+204","14.5","0.29"
"5515","建國","41.75","+0.55","+1.33","07/13","+6","+608","32.7","0.3","-8","-330","-13.5","-0.16","-2","-25","-3.23","-0.01","+2","+199","25.2","0.1"
"5607","遠雄港","51.1","-0.3","-0.58","07/13","+6","+581","22","0.16","0","0","0","0","-1","-16","-4.19","0","+6","+562","21.3","0.15"
"5880","合庫金","25.2","+0.05","+0.2","07/13","+6","+50,165","49.3","0.32","+1","+197","1","0","+1","+328","1.67","0","+6","+51,294","50.4","0.33"
"6112","邁達特","44.6","+0.25","+0.56","07/13","+6","+375","15.4","0.2","0","0","0","0","+1","+1","0.19","0","+6","+376","15.5","0.2"
"7794","宏碁智新","29.8","-0.2","-0.67","07/13","+6","+21","9.21","0.08","0","0","0","0","0","0","0","0","+6","+20","8.79","0.07"
