"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"162","5289","宜鼎","1865","+100","+5.67","05/14","0","2.01","2.35","1.45","1.44","2.06","2.18","1.9","2.19","3.16","2.43","1.67"
"163","2303","聯電","108","+9.6","+9.76","05/14","1.84","1.07","1.29","1.41","1.82","3.21","3.84","5.05","6.47","5.19","2.09","3.63"
"164","2480","敦陽科","150","+1.5","+1.01","05/14","1.36","1.25","1.39","1.4","0.9","0.68","0.48","1.55","1.4","0.94","0.93","0.57"
"165","6669","緯穎","5435","-145","-2.6","05/14","1.66","4.1","2.26","1.36","1.31","0.75","2.5","3.49","3.54","3.12","","3.92"
"166","3293","鈊象","724","0","0","05/14","0.37","0.16","1.14","1.34","1.94","5.81","3.88","3.39","3.37","4.03","2.93","4.54"
"167","2451","創見","344.5","+17.5","+5.35","05/14","2.5","1.28","1.3","1.33","1.43","2.2","1.81","3.28","4.7","4.69","4.08","2.33"
"168","2330","台積電","2270","+50","+2.25","05/14","1.58","1.23","1.24","1.3","0.84","1.27","1.23","1.25","1.14","0.95","0.78","1.25"
"169","2637","慧洋-KY","74.9","+1","+1.35","05/14","0.64","2.34","1.71","1.3","2.78","1.94","2.46","3.23","3.36","4.13","1.76","4.97"
"170","2801","彰銀","20.4","-0.1","-0.49","05/14","0.37","0.24","0.91","1.3","1.7","4.35","2.08","6.34","4.62","3.71","1.8","7.57"
"171","8016","矽創","294.5","+26.5","+9.89","05/14","2.49","2.06","1.66","1.28","1.54","3.33","3.01","1.73","1","0.26","0.05","4.57"
"172","2890","永豐金","30.5","-0.05","-0.16","05/14","2.68","1.98","1.94","1.27","1.13","11.6","6.61","5.26","11","8.39","3.66","5.87"
"173","3105","穩懋","483.5","-12","-2.42","05/14","1.65","2.75","2.12","1.27","1.11","1.46","0.85","0.51","0.52","0.8","1.55","0.59"
"174","2211","長榮鋼","96.8","+0.4","+0.41","05/14","1.96","1.45","1.21","1.25","2.96","2.28","2.51","1.74","7","8.39","","3.28"
"175","6231","系微","289","-17","-5.56","05/14","2.66","3.18","2.23","1.22","0.69","0.26","0.13","0.1","0.15","0.58","0.39","0.11"
"176","5469","瀚宇博","81.2","0","0","05/14","3.09","4.56","2.35","1.14","1.5","2.26","1.89","0.65","0.36","2.35","1.15","1.18"
"177","2377","微星","117","+1.5","+1.3","05/14","3.49","1.72","1.33","1.12","1.04","0.83","0.7","3.83","4.99","4.64","3.71","0.67"
"178","3005","神基","103.5","+5.6","+5.72","05/14","0.14","0.62","0.66","1.1","2.29","8.76","5.84","8.18","7.26","5.16","3.93","7.36"
"179","2204","中華","52.2","-0.7","-1.32","05/14","0.98","0.64","0.81","1.07","1.92","1.85","1.61","3.57","4.73","4.52","2.78","2.98"
"180","5904","寶雅","553","-9","-1.6","05/14","0.39","0.17","1.14","1.05","2.49","3.43","1.79","1.72","13.1","7.08","4.79","1.58"
"181","2753","八方雲集","177.5","-1","-0.56","05/14","1.15","0.73","0.94","1.04","1.03","0.58","0.22","0.52","0.9","2.23","","0.69"
"182","6754","匯僑設計","44.45","-0.7","-1.55","05/14","1.96","1.1","1.23","1.03","1.25","1.66","0.78","0.69","0.46","0.04","","0.69"
"183","3491","昇達科","1625","-95","-5.52","05/14","2.75","2.65","1.87","1.03","1.56","1.36","1.4","1.03","1.68","1.73","1.35","1.4"
"184","4536","拓凱","151.5","-1","-0.66","05/14","3","1.69","1.34","1.02","8.42","7.59","3.91","2.55","2.46","2.37","3.04","3.33"
"185","1560","中砂","650","+17","+2.69","05/14","0","0","1.59","1.02","0.66","2.74","3.63","2.78","3.52","2.54","1.79","3.73"
"186","6488","環球晶","788","+38","+5.07","05/14","2.53","1.85","1.37","0.99","0.57","1.8","3.18","3.06","3.78","3.94","2.05","2.75"
"187","2337","旺宏","169","+1","+0.6","05/14","0","0.24","1.19","0.98","0.92","1.75","1.38","0.78","0.59","1.31","1.38","0.9"
"188","1477","聚陽","223","-6","-2.62","05/14","0.95","0.53","1.11","0.96","2.4","7.83","4.79","10.2","9.03","6.64","4.61","5.81"
"189","2441","超豐","101","+3.7","+3.8","05/14","1.23","1.19","1.11","0.96","1.33","1.1","3.16","1.77","2.06","2.04","2.98","2.33"
"190","3711","日月光投控","548","0","0","05/14","3.76","2.18","1.42","0.96","1.3","2.16","2.45","5.87","6.75","5.47","","2.52"
"191","3450","聯鈞","422","-19","-4.31","05/14","3.19","7.41","3.02","0.95","0.44","0.9","0.5","0.73","0.95","0.74","0.86","0.52"
"192","3023","信邦","293","-6.5","-2.17","05/14","0.43","0.24","0.16","0.94","0.77","8.9","5.37","4.07","3.08","3.32","2.72","4.18"
"193","1558","伸興","90.5","-0.4","-0.44","05/14","2.65","1.51","1.34","0.94","1.19","1.29","0.96","0.64","0.45","0.11","0.83","1.03"
"194","9910","豐泰","70.5","-1.1","-1.54","05/14","2.48","1.65","1.47","0.92","1.86","1.03","0.33","0.24","0.15","0.08","0.02","1.19"
"195","6285","啟碁","262","-8.5","-3.14","05/14","0.53","1.23","0.84","0.92","0.9","1.75","1.25","0.97","2","3.15","3.12","0.96"
"196","5434","崇越","413","+0.5","+0.12","05/14","0.64","1.66","1.3","0.9","5.56","3.29","4.32","6.23","5.83","4.94","2.59","4.45"
"197","1815","富喬","106.5","+1","+0.95","05/14","0.02","0.98","1.02","0.89","0.63","0.5","1.14","0.69","0.38","0.24","0.33","0.9"
"198","6278","台表科","226","+20.5","+9.98","05/14","1","0.81","1.01","0.89","2.08","5.74","5.99","7.28","9.24","6.07","2.78","7.1"
"199","3029","零壹","97.2","+0.1","+0.1","05/14","1","0.76","0.81","0.86","0.44","0.34","0.23","0.48","0.52","0.3","0.16","0.29"
"200","6768","志強-KY","84.2","-3.5","-3.99","05/14","1.08","1.07","1.04","0.85","0.73","0.67","2.09","5.75","3.98","2.54","","5.58"
"201","2633","台灣高鐵","25.9","-0.25","-0.96","05/14","0.11","0.07","0.51","0.85","0.55","0.39","0.33","0.48","0.83","2.36","","0.36"
"202","1608","華榮","32.95","-0.6","-1.79","05/14","1.18","0.97","0.91","0.84","0.54","0.56","0.37","0.2","0.09","0.05","0.03","0.31"
"203","2382","廣達","334.5","-6","-1.76","05/14","0.36","0.71","0.9","0.83","1.42","2.94","1.77","2.36","3.36","2.75","2.48","1.92"
"204","6803","崑鼎","286.5","+1","+0.35","05/14","0","0","0","0.82","0.58","0.3","0.12","0.63","0.78","0.6","0.66","0.81"
"205","2312","金寶","28.25","-0.85","-2.92","05/14","0","1.05","0.81","0.8","0.44","0.35","1.04","0.72","0.51","0.2","0.17","0.79"
"206","2886","兆豐金","39.3","-0.25","-0.63","05/14","1.36","0.72","1.28","0.8","0.89","9.69","5.2","6.4","9.9","6.81","3.64","4.91"
"207","6213","聯茂","268","-5.5","-2.01","05/14","0.21","1.13","0.93","0.79","0.6","0.69","0.27","0.51","0.53","0.87","2.41","0.3"
"208","00881","國泰台灣科技龍頭","50.2","+0.15","+0.3","05/14","0","2.11","1.3","0.78","0.37","0.47","0.38","0.43","0.4","0.35","","0.51"
"209","2645","長榮航太","153","-3","-1.92","05/14","0.24","0.24","0.2","0.77","4.88","3.73","4.26","1.38","1.12","1.09","","1.88"
"210","8454","富邦媒","191","-5","-2.55","05/14","0.19","0.08","0.14","0.77","0.47","5.09","2.48","1.26","0.74","0.45","0.08","2.24"
"211","6143","振曜","98.8","-2.7","-2.66","05/14","4.43","1.85","1.12","0.77","0.64","0.41","0.2","0.12","1.23","1.92","1.88","0.15"
"212","6525","捷敏-KY","116.5","+10.5","+9.91","05/14","0.45","0.52","0.64","0.71","0.42","0.29","0.22","0.17","0.11","0.26","1.58","0.19"
"213","2852","第一保","26.5","+0.2","+0.76","05/14","0.82","0.65","0.65","0.71","1.08","2.61","1.06","0.86","2.03","0.55","0.26","1.05"
"214","6561","是方","346","+0.5","+0.14","05/14","0","0","0","0.7","0.26","6.01","2.56","2.89","2.11","1.22","","3.14"
