"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"172","2542","興富發","40","+0.6","+1.52","05/08","24.3","43","40.8","42.1","33.9","34.3","38","39.1","45.3","38.6","37.7","38.2"
"173","2812","台中銀","19.75","+0.05","+0.25","05/08","48.3","44.2","40.7","42","40.7","45.6","39.3","41.2","39.5","33.2","24.6","41.6"
"174","3653","健策","3650","-225","-5.81","05/08","35","40.5","40.6","41.4","41","43.4","42.8","40.7","38.6","38","19.1","41"
"175","2352","佳世達","24.85","-0.35","-1.39","05/08","38.8","46.6","40.5","37","42.8","32.6","38.8","44.3","35.1","34.9","25","38.8"
"176","2610","華航","18.55","-0.05","-0.27","05/08","33.3","33.6","40.5","42.3","47.6","54.2","58.3","51.9","50.6","34.7","24.1","49.6"
"177","3032","偉訓","70.7","-1","-1.39","05/08","46.8","39.6","40.3","36.6","36.1","35.3","37","36.5","26.9","23.3","21","38"
"178","4960","誠美材","39.35","-4.35","-9.95","05/08","44.5","40.9","40.3","39","30.2","20","19.8","20.5","21.1","25.8","18.3","20.2"
"179","1714","和桐","9.23","+0.09","+0.98","05/08","30.8","42.2","40.2","42.7","42.5","32.1","29.4","26","27.1","26.2","19.1","26.4"
"180","2762","世界健身-KY","74","+0.1","+0.14","05/08","3.31","4.68","40.2","41.4","45.2","46.2","33","16.4","23.1","","","33.6"
"181","2855","統一證","40","+0.3","+0.76","05/08","41.3","40.3","40.2","37","33.2","34.3","33","32.9","35","33.8","27.4","30.5"
"182","3708","上緯投控","118.5","-2","-1.66","05/08","47.8","51.4","40.2","32.4","39.9","33.2","33.3","30.3","24.8","25.1","","31.2"
"183","6792","詠業","56.8","-1.9","-3.24","05/08","36","35.9","40.1","31.7","31.2","30.2","25.9","22.5","19.3","18.5","","22.6"
"184","4533","協易機","30.5","-1","-3.17","05/08","46.9","36.3","40.1","25","24.2","25.7","23.6","21.5","22.2","17.4","15.6","21.4"
"185","3297","杭特","31.8","-0.1","-0.31","05/08","48.8","43.7","40","39.2","31.2","28.9","29","24.5","12.1","12.2","11.1","28.1"
"186","3115","富榮綱","9.66","-0.09","-0.92","05/08","71.2","38.8","40","6.52","5.13","2.37","1.96","9.41","5.05","3.07","2.18","1.74"
"187","1808","潤隆","28.45","+0.05","+0.18","05/08","38.4","39.1","39.9","40.8","50.6","45.6","45.3","47","45.9","39.8","32.2","46"
"188","4766","南寶","392","+21","+5.66","05/08","39","38.7","39.9","40","36.8","34.1","36.8","39.2","37.1","36.4","","38.5"
"189","4130","健亞","27.2","-0.15","-0.55","05/08","35.4","36.7","39.8","26.4","27.2","19.5","23.3","20.9","19","19.5","9.78","21.3"
"190","5288","豐祥-KY","152","-1.5","-0.98","05/08","36.5","44.3","39.8","34.7","30.1","24","27","25.8","26.4","23.8","16","27"
"191","3324","雙鴻","1065","-5","-0.47","05/08","37.7","41","39.7","36.7","33.1","31.8","31.2","31.4","28","24.9","15.2","31"
"192","3360","尚立","14.05","+0.6","+4.46","05/08","39.9","38.2","39.7","33.6","32.1","32.8","22.4","16.9","16.2","14.2","7.36","17.7"
"193","4770","上品","223.5","-5","-2.19","05/08","51.2","43.6","39.6","30","38","36.3","36","34.4","30.7","29.9","","34"
"194","8081","致新","253.5","-4","-1.55","05/08","41.8","44.2","39.6","33.1","33.4","33.3","37.2","39","37.7","37.7","23","33.9"
"195","3294","英濟","30.25","-1.1","-3.51","05/08","58.2","38","39.6","33.3","31.7","31.7","28.7","26.5","16.2","16.4","14","26.8"
"196","8070","長華*","48.2","-0.25","-0.52","05/08","41","45","39.6","35.1","36","28","33.9","30.8","34.9","33.4","27.7","31.2"
"197","3543","州巧","39.85","+0.85","+2.18","05/08","43.4","38.5","39.6","39.3","42","41.7","33","28.2","20.4","20","","28.1"
