" "," ","#","股票代號/名稱","類別","20260430","0508","0515","0522","0529","0605"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","75","6214精誠","資訊服務","0.05","-0.18","0.42","0.18","0.81","1.36"," ","50","2.64"," ","57.76","144.50","-5.50"," "
" "," ","76","2464盟立","其他電子","4.92","-1.70","-0.89","1.77","-1.01","-0.49"," ","31","2.60"," ","45.85","165.00","-5.00"," "
" "," ","77","2032新鋼","鋼鐵","0.00","0.13","0.23","0.05","1.07","1.09"," ","50","2.57"," ","58.85","18.30","0.00"," "
" "," ","78","2444兆勁","通信網路","0.55","0.08","0.10","-0.03","0.25","1.60"," ","50","2.55"," ","28.01","13.50","0.00"," "
" "," ","79","6155鈞寶","電子零組件","-0.45","2.84","-2.13","1.47","4.55","-3.75"," ","30","2.53"," ","61.30","79.30","7.20"," "
" "," ","80","910322康師傅-DR","存託憑證","0.29","0.04","0.27","-0.04","-0.29","2.19"," ","31","2.46"," ","29.13","24.95","-0.95"," "
" "," ","81","2476鉅祥","電子零組件","0.15","0.59","-0.05","1.27","0.87","-0.37"," ","10","2.46"," ","62.92","120.00","-1.00"," "
" "," ","82","3209全科","電子通路","0.35","1.01","1.11","-0.18","0.95","-0.78"," ","30","2.46"," ","48.84","73.50","-3.50"," "
" "," ","83","2376技嘉","電腦週邊","-0.04","1.85","0.71","-0.18","0.05","0.05"," ","40","2.44"," ","70.00","369.00","-5.00"," "
" "," ","84","2727王品","觀光","-0.10","0.60","1.50","0.14","-0.23","0.53"," ","31","2.44"," ","34.55","246.00","3.50"," "
" "," ","85","2365昆盈","電腦週邊","-0.37","0.42","0.05","1.47","0.86","-0.03"," ","10","2.40"," ","24.21","36.00","-0.65"," "
" "," ","86","2327國巨*","電子零組件","0.44","1.38","0.24","1.34","-0.35","-0.73"," ","10","2.32"," ","74.07","769.00","26.00"," "
" "," ","87","6202盛群","半導體","0.03","0.47","-0.05","1.12","1.56","-0.87"," ","30","2.26"," ","36.92","55.00","-2.40"," "
" "," ","88","6215和椿","其他電子","-0.44","0.05","1.15","2.52","0.55","-1.61"," ","10","2.22"," ","34.59","118.00","1.00"," "
" "," ","89","6873泓德能源","綠能","0.07","0.77","0.14","-0.06","0.54","0.76"," ","50","2.22"," ","62.40","93.00","-5.60"," "
" "," ","90","2338光罩","半導體","0.09","2.32","-2.37","1.61","2.23","-1.67"," ","30","2.21"," ","49.20","51.40","-1.30"," "
" "," ","91","3661世芯-KY","半導體","0.67","2.31","0.20","-0.64","-1.57","1.24"," ","31","2.21"," ","38.52","4285.00","-55.00"," "
" "," ","92","5284jpp-KY","其他","0.78","0.60","0.72","-0.51","1.71","-1.10"," ","30","2.20"," ","58.74","406.50","-10.00"," "
" "," ","93","1608華榮","電器電纜","-0.20","0.49","-0.13","0.27","-0.10","1.84"," ","31","2.17"," ","66.38","36.10","-2.70"," "
" "," ","94","2385群光","電子零組件","-0.36","0.90","0.07","0.01","0.52","1.02"," ","50","2.16"," ","79.70","143.00","-3.50"," "
" "," ","95","7631聚賢研發-創","其他電子","0.07","0.02","0.02","0.00","0.01","2.04"," ","50","2.16"," ","74.40","126.50","0.00"," "
" "," ","96","911868同方友友-DR","存託憑證","0.07","1.05","0.23","0.13","-0.09","0.75"," ","31","2.14"," ","36.11","1.29","0.01"," "
" "," ","97","2458義隆","半導體","-1.00","0.05","0.75","1.50","0.58","0.24"," ","10","2.12"," ","60.15","158.50","-3.50"," "
" "," ","98","2390云辰","其他電子","0.21","0.03","-0.04","0.37","0.73","0.81"," ","50","2.11"," ","38.61","12.10","-1.00"," "
" "," ","99","1714和桐","化學","0.01","-0.46","1.38","-0.13","-0.34","1.64"," ","31","2.10"," ","64.62","11.50","-0.60"," "
" "," ","100","6414樺漢","電腦週邊","0.03","1.65","0.90","-0.89","-0.13","0.53"," ","50","2.09"," ","65.56","384.00","-5.50"," "
" "," ","101","3038全台","光電","0.64","0.28","0.43","0.19","0.52","0.02"," ","30","2.08"," ","42.93","24.10","-1.05"," "
