"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"753","6209","今國光","市","05/12","","66","+0.2","+0.3","6,419","426","65.8","66.1","67.6","65.1","3.8","71.7","3.67","","","","",""
"754","2496","卓越","市","05/12","","65.9","-0.3","-0.45","35","2.29","66.2","65.5","66.3","65.3","1.51","10.8","1.42","","","","",""
"755","6741","91APP*-KY","櫃","05/12","","65.9","0","0","309","20.4","65.9","66.5","67","65.4","2.43","15","2.37","","","","",""
"756","3332","幸康","櫃","05/12","","65.8","-0.2","-0.3","37","2.39","66","66.5","66.5","64.2","3.48","18.6","1.72","","","","",""
"757","4566","時碩工業","市","05/12","","65.8","-2.5","-3.66","1,395","92.7","68.3","68.7","68.7","65.8","4.25","48.4","1.46","","","","",""
"758","2732","六角","櫃","05/12","","65.6","-0.1","-0.15","56","3.64","65.7","65.8","65.8","65.5","0.46","60.2","1.66","","","","",""
"759","3504","揚明光","市","05/12","","65.6","+2.8","+4.46","793","51.2","62.8","63.8","65.8","62.5","5.25","","2.65","","","","",""
"760","4741","泓瀚","櫃","05/12","","65.2","+3.6","+5.84","2,638","168","61.6","61.4","67","59.2","12.7","130","2.49","","","","",""
"761","2367","燿華","市","05/12","","64.8","+2.2","+3.51","57,458","3,701","62.6","63","65.8","63","4.47","","3.6","","","","",""
"762","3687","歐買尬","櫃","05/12","","64.6","-0.3","-0.46","83","5.32","64.9","64.9","64.9","64.2","1.08","13.8","1.21","","","","",""
"763","6844","諾貝兒","櫃","05/12","","64.6","-0.3","-0.46","17","1.11","64.9","64.9","64.9","63.9","1.54","24.8","0.78","","","","",""
"764","2891B","中信金乙特","市","05/12","","64.5","-0.2","-0.31","74","4.75","64.7","64.5","64.5","64.3","0.31","","","","","","",""
"765","8924","大田","櫃","05/12","","64.5","+0.5","+0.78","167","10.7","64","64","64.5","63.8","1.09","13.4","1.37","","","","",""
"766","5203","訊連","市","05/12","","64.4","-0.3","-0.46","177","11.4","64.7","64.7","64.8","64","1.24","17.5","1.07","","","","",""
"767","8102","傑霖科技","櫃","05/12","","64.3","-3.8","-5.58","86","5.7","68.1","67.8","69","64","7.34","28.6","3.58","","","","",""
"768","00770","國泰北美科技","市","05/12","","64.15","+0.25","+0.39","657","42.2","63.9","64.1","64.5","63.95","0.86","","0.9872","","","","",""
"769","00851","台新全球AI","市","05/12","","64.15","-0.1","-0.16","41","2.61","64.25","64.3","64.3","64.05","0.39","","0.9648","","","","",""
"770","6840","東研信超","櫃","05/12","","64","-2","-3.03","145","9.39","66","66.1","66.3","64","3.48","40.5","1.87","","","","",""
"771","2015","豐興","市","05/12","","63.9","-0.4","-0.62","280","17.9","64.3","64.2","64.2","63.3","1.4","16","1.75","","","","",""
"772","2606","裕民","市","05/12","","63.9","-1.4","-2.14","8,247","530","65.3","65.3","65.6","63.4","3.37","12.3","1.33","","","","",""
"773","2881A","富邦特","市","05/12","","63.9","-0.2","-0.31","87","5.56","64.1","64","64","63.9","0.16","","","","","","",""
"774","6642","富致","櫃","05/12","","63.9","-0.4","-0.62","508","33","64.3","64.9","66.7","63.7","4.67","25.8","2.33","","","","",""
"775","6994","富威電力","市","05/12","","63.9","-0.4","-0.62","319","20.4","64.3","64.3","64.5","63.5","1.56","10.1","1.95","","","","",""
"776","7791","皇家可口","市","05/12","","63.6","-0.1","-0.16","67","4.26","63.7","63.5","64.2","63.4","1.26","11.3","1.4","","","","",""
"777","8048","德勝","櫃","05/12","","63.4","+1.6","+2.59","708","45.1","61.8","63.3","64.7","62.1","4.21","23.7","3.13","","","","",""
"778","8284","三竹","櫃","05/12","","63.4","-0.7","-1.09","61","3.89","64.1","63.7","63.7","62.7","1.56","13.8","2.1","","","","",""
"779","5464","霖宏","櫃","05/12","","63.3","+5.7","+9.9","1,162","73.4","57.6","62.9","63.3","62.9","0.69","","3.89","","","","",""
"780","2363","矽統","市","05/12","","63.2","+2.2","+3.61","42,472","2,671","61","61","66.5","58.7","12.8","41.3","1.78","","","","",""
"781","2250","IKKA-KY","市","05/12","","63.1","-0.8","-1.25","110","6.94","63.9","64","64","62.8","1.88","15.8","1.09","","","","",""
