"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"234","1707","葡萄王","108.5","-1","-0.91","05/14","40.3","44.1","42.6","40.5","39","32.6","31.2","29.9","34.5","35.3","25.1","30.6"
"235","2450","神腦","29.4","-0.2","-0.68","05/14","50.8","44.1","42.6","25.6","24.5","23.9","24.3","22.8","34.4","25.1","22.6","23.2"
"236","8454","富邦媒","191","-5","-2.55","05/14","53.8","41.1","42.5","37.7","35","38.9","25.1","15.6","8.35","2.86","0.76","28.8"
"237","8404","百和興業-KY","16.5","-0.1","-0.6","05/14","44.7","39.9","42.5","44.8","39.4","35.2","18.6","9.7","3.09","0.66","0.44","17.1"
"238","2034","允強","19.95","-0.05","-0.25","05/14","47.1","56","42.5","38.9","32.7","29.8","35.4","30.9","35.4","31","20.7","33.2"
"239","6951","青新-創","80.1","+0.4","+0.5","05/14","13.7","30.1","42.5","36.9","28.8","25.8","11.5","5.2","3.25","","","8.76"
"240","9907","統一實","16.4","-0.05","-0.3","05/14","46.2","39","42.5","44.3","49.9","53.7","31.2","18.7","8.43","3.48","0.96","29.5"
"241","3297","杭特","31.35","-0.45","-1.42","05/14","51.4","47","42.4","35.9","36.3","28.1","29.6","24.6","12.1","12.2","11.2","28.2"
"242","1231","聯華食","85.8","-0.3","-0.35","05/14","41.7","43.3","42.4","36","30.1","31","31","34","33.4","32.5","21.4","31.8"
"243","2820","華票","16.75","-0.15","-0.89","05/14","45.1","42","42.3","28.3","36","31.3","31.4","31.1","26.5","24.6","24.2","31.9"
"244","7740","熙特爾-創","168.5","-0.5","-0.3","05/14","57.1","47.2","42.3","34","28.2","26","14.5","10.9","","","","14.4"
"245","1472","三洋實業","89.2","+0.1","+0.11","05/14","54.6","52.2","42.2","32.8","26.5","25.1","16.3","17.9","28","19.8","5.88","18.9"
"246","1522","堤維西","30.15","-0.95","-3.05","05/14","34.5","38.8","42.2","40.9","34.8","36.5","38.8","34.2","31.6","26","20.9","34.3"
