"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"268","00741B","富邦全球非投等債","37.04","+0.08","+0.22","06/02","+55","+33.2","+23.9","+21.4","+11.5","+3.94","+10.4","+8.14","+2.92","-1.75","","+9.17"
"269","00847B","中信美國市政債","25.43","+0.19","+0.75","06/02","+27.8","+22.2","+28.7","+21.4","+14","+7.65","+4.97","+3.25","+1.72","+0.61","","+4.29"
"270","1443","立益物流","25.2","+0.1","+0.4","06/02","+23","+33.4","+30.3","+21.3","+17.2","+5.85","+3.08","+4.11","+1.91","+0.15","+0.01","+5.1"
"271","00666R","富邦恒生國企反1","8.91","-0.2","-2.2","06/02","-13.7","-11.2","-2.59","+21.3","+38","+41.6","+5.3","+13.2","+4.9","-0.67","","+13.5"
"272","2027","大成鋼","43.65","+0.45","+1.04","06/02","+7.08","+19.3","+16.7","+21.1","+21.4","+27","+9.89","+1.25","-0.24","+2.45","+0.91","+6.16"
"273","1326","台化","54.4","+0.6","+1.12","06/02","+20.2","+16.5","+25.1","+20.5","+12.9","+4.56","+6.6","+5.78","+5.36","+1.38","-0.31","+6.97"
"274","1417","嘉裕","8.26","+0.06","+0.73","06/02","+24.4","+29","+28.7","+20.5","+14.1","+2.56","+1.51","+1.32","+1.41","-1.56","-0.04","+1.44"
"275","00701","國泰股利精選30","35.05","+0.33","+0.95","06/02","+17.6","+15.6","+17.5","+20.5","+21.2","+28.4","+29","+32.4","+4","+14.9","","+39.4"
"276","2913","農林","11.3","+0.2","+1.8","06/02","-1.97","+19.6","+23.7","+20.4","+13.1","+9.54","-1.38","-1.97","-2.81","-0.49","-0.41","-1.35"
"277","3090","日電貿","220","-13.5","-5.78","06/02","-5.01","+5.18","+16.9","+20.4","+5.63","+6.42","+5.08","+3.3","+1.64","+1.58","+0.83","+3.06"
"278","8467","波力-KY","131.5","0","0","06/02","-23.5","+22.6","+35","+20.3","+8.98","+3.91","+7.29","+1.05","-0.1","+0.08","+0.04","+1.12"
"279","00988B","玉山嚴選非投債","19.82","+0.1","+0.51","06/02","+19.2","+24.7","+26.7","+20.3","+0.42","-52.5","","","","","",""
"280","4167","松瑞藥","20.25","+0.2","+1","06/02","+13.2","+16.7","+18","+20.2","+12.4","+0.6","+1.83","-1.1","-2.6","-0.13","+0.04","+0.59"
"281","2461","光群雷","17.55","+0.75","+4.46","06/02","+26.8","+29.4","+28.6","+20.1","+17.8","+8.89","+1.51","+0.71","+0.5","-0.86","-0.18","+1.26"
