"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"232","9941","裕融","83","+1.1","+1.34","26W18","04/30","38.8","+897","+0.23","38.1","+434","+0.11","37.8","+402","+0.11"
"233","2481","強茂","148.5","-16.5","-10","26W18","04/30","21.1","-6,552","-3.01","20.3","-4,331","-2.09","19.6","-4,335","-2.16"
"234","8930","青鋼","28","-0.5","-1.75","26W18","04/30","4.97","+39","+0.08","4.71","+39","+0.08","4.52","+27","+0.06"
"235","3049","精金","15.15","-0.75","-4.72","26W18","04/30","36.6","-3,035","-0.82","35.5","-1,670","-0.47","34.9","-1,589","-0.45"
"236","2354","鴻準","56.4","-4.2","-6.93","26W18","04/30","64.6","-5,888","-0.9","63.3","-5,170","-0.81","62","-6,782","-1.08"
"237","6015","宏遠證","20.35","-2.25","-9.96","26W18","04/30","18.3","+5,546","+3.12","17.7","+4,131","+2.39","17","+4,081","+2.45"
"238","00982T","平衡兆豐台美動能","15.09","-0.38","-2.46","26W18","04/30","0.77","+325","+4.43","0.62","+325","+5.58","0.62","+325","+5.58"
"239","6197","佳必琪","327","+2","+0.62","26W18","04/30","5.76","+3,991","+7.45","5.47","+2,441","+4.67","4.84","-1,029","-2.08"
"240","00795B","中信美國公債20年","26.63","-0.11","-0.41","26W18","04/30","83.5","+15,059","+1.84","82.1","+15,734","+1.95","80.5","+15,734","+1.99"
"241","5014","建錩","11.15","-0.25","-2.19","26W18","04/30","6.08","-591","-0.96","5.51","+16.6","+0.03","4.89","-13.4","-0.03"
"242","6861","睿生光電","341.5","-10","-2.84","26W18","04/30","2.33","-46","-0.2","2.12","-737","-3.36","2.02","0","0"
"243","2409","友達","24.4","-2.7","-9.96","26W18","04/30","359","-85,173","-2.32","347","-91,838","-2.58","338","-101,908","-2.92"
"244","00665L","富邦恒生國企正2","9.16","-0.25","-2.66","26W18","04/30","24.2","+1,012","+0.42","21.8","-716","-0.33","20.4","-687","-0.34"
"245","2618","長榮航","36.4","-1.3","-3.45","26W18","04/30","383","-15,570","-0.4","376","-17,365","-0.46","371","-19,373","-0.52"
"246","911868","同方友友-DR","1.25","-0.04","-3.1","26W18","04/30","4.13","+87","+0.21","3.58","+20","+0.06","3.21","+20","+0.06"
"247","5009","榮剛","34.6","-2.65","-7.11","26W18","04/30","27.6","+148","+0.05","27","-9.88","0","26.4","+34.4","+0.01"
"248","6112","邁達特","51.2","+1.2","+2.4","26W18","04/30","11","-218","-0.2","10.8","-37.4","-0.03","10.6","-37.4","-0.04"
"249","6945","圓祥生技","104","-1","-0.95","26W18","04/30","5.67","0","0","5.46","0","0","5.11","0","0"
"250","00646","元大S&P500","73.35","-1.35","-1.81","26W18","04/30","20.7","+747","+0.36","19.9","+620","+0.31","19.5","-204","-0.1"
"251","3592","瑞鼎","255","-16.5","-6.08","26W18","04/30","2.5","+453","+1.84","2.23","+467","+2.13","1.95","+2,202","+12.7"
"252","3293","鈊象","780","-10","-1.27","26W18","04/30","13.7","+136","+0.1","12.9","+970","+0.76","12.2","-1,733","-1.4"
"253","8064","東捷","152","-14","-8.43","26W18","04/30","10.2","+9,610","+10.4","9.63","+8,737","+9.98","9.1","+8,742","+10.6"
"254","6443","元晶","36.15","-3.75","-9.4","26W18","04/30","9.03","+3,262","+3.75","8.75","+3,324","+3.95","8.39","+3,396","+4.22"
"255","3311","閎暉","40.5","+0.75","+1.89","26W18","04/30","5.31","+41.8","+0.08","5.09","+4.82","+0.01","5","+26.4","+0.05"
"256","00981A","主動統一台股增長","29.89","-0.92","-2.99","26W18","04/30","188","+664,371","+54.8","176","+662,930","+60.7","165","+649,697","+64.9"
"257","6209","今國光","80","-7.9","-8.99","26W18","04/30","7.91","-2,602","-3.18","7.19","-1,253","-1.71","6.74","-1,297","-1.89"
"258","1733","五鼎","29.9","-0.9","-2.92","26W18","04/30","3.73","-26","-0.07","3.44","-26","-0.08","3.05","-73","-0.24"
"259","2492","華新科","400","-16","-3.85","26W18","04/30","28.2","-329","-0.12","27.7","+648","+0.23","26.9","-1,172","-0.43"
"260","9906","欣巴巴","42.3","-0.3","-0.7","26W18","04/30","6.77","+81","+0.12","6.71","+81","+0.12","6.44","+231","+0.36"
"261","8454","富邦媒","388","+35","+9.92","26W18","04/30","20.3","-560","-0.27","20.1","-697","-0.35","19.9","-1,515","-0.76"
"262","1437","勤益控","28.55","-0.6","-2.06","26W18","04/30","15.2","-29.7","-0.02","14.1","-53.7","-0.04","13.2","-32.7","-0.02"
"263","5604","中連","30.75","-0.7","-2.23","26W18","04/30","6.74","+10","+0.01","6.3","+6","+0.01","5.75","0","0"
"264","00937B","群益ESG投等債20+","14.85","-0.06","-0.4","26W18","04/30","964","+37,034","+0.39","918","+33,125","+0.36","886","+40,445","+0.46"
"265","5234","達興材料","389","-14.5","-3.59","26W18","04/30","6.36","-48.6","-0.08","5.94","-854","-1.42","5.76","-21","-0.04"
"266","5340","建榮","91.8","-3.3","-3.47","26W18","04/30","11.7","+892","+0.77","11.1","-22","-0.02","10.9","-15","-0.01"
"267","00643","群益深証中小","18.97","-0.83","-4.19","26W18","04/30","2.95","-219","-0.74","2.61","+430","+1.68","2.23","+433","+1.98"
"268","2385","群光","136","-7","-4.9","26W18","04/30","56.5","+935","+0.17","54.4","-566","-0.1","53.5","+241","+0.05"
"269","00733","富邦臺灣中小","69.75","-3.25","-4.45","26W18","04/30","1.37","-1,025","-6.95","1.24","-1,000","-7.47","1.24","-1,000","-7.47"
"270","1432","大魯閣","17.15","-0.05","-0.29","26W18","04/30","5.82","-23.1","-0.04","5.82","-23.1","-0.04","5.73","-23.1","-0.04"
"271","3028","增你強","74.7","-4","-5.08","26W18","04/30","11","+1,976","+1.83","10.5","+1,791","+1.73","9.82","-1,024","-1.03"
"272","5521","工信","10.2","+0.05","+0.49","26W18","04/30","28.9","-3,163","-1.08","28","-1,615","-0.57","27.4","+1,832","+0.67"
"273","5464","霖宏","63.8","-3.8","-5.62","26W18","04/30","4.25","-4","-0.01","4.17","-4","-0.01","3.7","-4","-0.01"
"274","3029","零壹","103.5","-4","-3.72","26W18","04/30","6.51","+911","+1.42","6.38","+281","+0.44","5.79","+430","+0.75"
"275","1734","杏輝","31.35","-0.1","-0.32","26W18","04/30","8.1","+247","+0.31","7.47","+162","+0.22","7.01","+95","+0.14"
"276","3050","鈺德","12.8","-0.65","-4.83","26W18","04/30","7.52","-572","-0.75","7.18","+786","+1.11","6.72","-58","-0.09"
"277","8121","越峰","38","-2.75","-6.75","26W18","04/30","12.1","+65","+0.05","11.7","+804","+0.69","11.3","0","0"
"278","00674R","期元大S&P黃金反1","28.67","+0.86","+3.09","26W18","04/30","0.62","+190","+3.17","0.62","+969","+18.6","0.53","+83","+1.59"
"279","9802","鈺齊-KY","77.7","-1.3","-1.65","26W18","04/30","12.2","+461","+0.38","11.7","+1,214","+1.05","11","-455","-0.41"
"280","00634R","富邦上証反1","3.13","+0.08","+2.62","26W18","04/30","2.37","-280","-1.17","2.1","+520","+2.55","1.91","+501","+2.69"
"281","2727","王品","241.5","-4.5","-1.83","26W18","04/30","2.09","-72","-0.34","1.94","-98","-0.5","1.31","-110","-0.84"
"282","8215","明基材","27.85","-1.8","-6.07","26W18","04/30","16.4","-1,372","-0.83","16","-1,470","-0.91","16","-651","-0.41"
"283","00943","兆豐電子高息等權","20.85","-1.24","-5.61","26W18","04/30","1.29","+623","+5.07","1.23","+628","+5.38","1.14","-259","-2.22"
"284","4306","炎洲","14.95","0","0","26W18","04/30","34","-1,565","-0.46","32.9","-1,549","-0.47","32.1","-729","-0.23"
"285","3023","信邦","322.5","-6.5","-1.98","26W18","04/30","15.3","+933","+0.61","14","-364","-0.26","13","+1,419","+1.1"
"286","5011","久陽","17.6","-1.1","-5.88","26W18","04/30","4.07","+44","+0.11","3.35","+57","+0.17","2.88","0","0"
"287","009806","台新標普500","13","-0.23","-1.74","26W18","04/30","0.8","-296","-3.56","0.74","-296","-3.84","0.74","-296","-3.84"
"288","8131","福懋科","63.8","-5.1","-7.4","26W18","04/30","31.6","+2,233","+0.71","31.1","+1,485","+0.48","30.7","+429","+0.14"
"289","4763","材料*-KY","42.35","-1.2","-2.76","26W18","04/30","57.9","-11,552","-1.96","56.7","-11,126","-1.92","56","-11,126","-1.95"
