排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (萬張),超過 600張 增減 (張),超過 600張 增減 (%),持股 超過 800張 (萬張),超過 800張 增減 (張),超過 800張 增減 (%),持股 超過 1千張 (萬張),超過 1千張 增減 (張),超過 1千張 增減 (%)
30,3491,昇達科,1785.0,-150.0,-7.75,26W23,06/05,1.92,422.0,2.24,1.41,2011.0,16.7,0.95,1207.0,14.5
31,00647L,元大S&P500正2,130.55,-5.25,-3.87,26W23,06/05,0.18,251.0,16.5,0.18,251.0,16.5,0.18,251.0,16.5
32,1514,亞力,125.0,-10.0,-7.41,26W23,06/05,13.0,14198.0,12.2,12.1,17195.0,16.5,11.9,19009.0,19.1
33,00714,群益道瓊美國地產,21.47,0.03,0.14,26W23,06/05,0.75,601.0,8.77,0.44,602.0,15.9,0.27,-1118.0,-29.5
34,3689,湧德,127.5,-14.0,-9.89,26W23,06/05,2.35,2112.0,9.86,2.09,2837.0,15.7,1.73,2011.0,13.1
35,6150,撼訊,63.9,-3.9,-5.75,26W23,06/05,0.66,288.0,4.57,0.66,889.0,15.6,0.57,0.0,0.0
36,00939,統一台灣高息動能,20.14,-0.75,-3.59,26W23,06/05,8.6,9422.0,12.3,8.06,10652.0,15.2,7.2,11389.0,18.8
37,3118,進階,33.65,-0.45,-1.32,26W23,06/05,0.96,78.0,0.82,0.66,851.0,14.7,0.49,1000.0,25.7
38,3060,銘異,28.9,-1.9,-6.17,26W23,06/05,2.28,1793.0,8.55,2.07,2467.0,13.5,1.89,608.0,3.33
39,3324,雙鴻,1095.0,-15.0,-1.35,26W23,06/05,4.12,2468.0,6.37,3.64,4006.0,12.4,3.01,4209.0,16.3
40,4739,康普,118.5,0.5,0.42,26W23,06/05,5.14,2539.0,5.19,4.8,5180.0,12.1,4.53,5053.0,12.6
41,00701,國泰股利精選30,34.87,-1.11,-3.09,26W23,06/05,1.21,1277.0,11.8,1.13,1174.0,11.6,1.13,1174.0,11.6
42,00934,中信成長高股息,27.16,-1.42,-4.97,26W23,06/05,4.28,2437.0,6.04,4.07,4170.0,11.4,3.71,1422.0,3.99
43,00403A,主動統一升級50,10.13,-0.28,-2.69,26W23,06/05,269.0,218584.0,8.85,246.0,251003.0,11.4,218.0,261466.0,13.7
44,00783,富邦中証500,28.06,-1.42,-4.82,26W23,06/05,0.12,121.0,11.2,0.12,121.0,11.2,0.12,121.0,11.2
45,2399,映泰,44.65,-4.1,-8.41,26W23,06/05,5.94,4858.0,8.91,5.66,5588.0,11.0,5.12,5608.0,12.3
46,00984B,大華優利美A債15,16.3,-0.07,-0.43,26W23,06/05,6.28,4106.0,7.0,5.67,5568.0,10.9,5.12,5516.0,12.1
47,2406,國碩,32.0,-2.65,-7.65,26W23,06/05,13.7,15759.0,13.0,12.9,12659.0,10.8,12.3,14489.0,13.3
48,6265,方土昶,52.9,-4.7,-8.16,26W23,06/05,6.36,4121.0,6.93,6.13,5990.0,10.8,5.5,3173.0,6.13
49,00960,野村全球航運龍頭,17.55,-0.01,-0.06,26W23,06/05,0.73,715.0,10.8,0.73,715.0,10.8,0.73,1555.0,26.9
50,00956,中信日經高股息,12.08,-0.19,-1.55,26W23,06/05,0.69,1218.0,21.5,0.55,529.0,10.6,0.45,-471.0,-9.43
51,3529,力旺,3200.0,-235.0,-6.84,26W23,06/05,3.22,609.0,1.93,2.93,2786.0,10.5,2.48,-9.04,-0.04
52,4720,德淵,25.0,-2.3,-8.42,26W23,06/05,4.79,5764.0,13.7,4.65,4408.0,10.5,4.4,3650.0,9.06
53,6282,康舒,58.8,-5.0,-7.84,26W23,06/05,46.7,43515.0,10.3,45.5,43033.0,10.4,44.8,39331.0,9.63
54,2349,錸德,13.3,-0.7,-5.0,26W23,06/05,19.3,18465.0,10.6,17.7,16643.0,10.4,16.3,18371.0,12.7
55,00928,中信上櫃ESG30,36.12,-1.89,-4.97,26W23,06/05,0.95,-470.0,-4.69,0.95,884.0,10.2,0.95,884.0,10.2
56,00632R,元大台灣50反1,10.77,0.4,3.86,26W23,06/05,87.8,70881.0,8.78,76.8,70164.0,10.1,68.8,67895.0,11.0
57,3338,泰碩,77.3,-1.3,-1.65,26W23,06/05,2.44,2102.0,9.44,2.29,2091.0,10.0,2.2,2091.0,10.5
58,00981T,平衡凱基雙核收息,12.02,-0.12,-0.99,26W23,06/05,5.6,5202.0,10.2,4.97,4474.0,9.9,4.15,3613.0,9.54
59,00892,富邦台灣半導體,41.87,-1.78,-4.08,26W23,06/05,4.53,2394.0,5.58,4.19,3743.0,9.81,3.99,4710.0,13.4
60,3550,聯穎,23.55,-0.5,-2.08,26W23,06/05,4.71,3954.0,9.17,4.42,3937.0,9.77,4.14,1941.0,4.92
61,8112,至上,84.7,-7.9,-8.53,26W23,06/05,21.2,18181.0,9.39,20.7,18396.0,9.75,20.0,21106.0,11.8
62,5475,德宏,255.5,-25.0,-8.91,26W23,06/05,4.66,2592.0,5.89,4.37,3850.0,9.65,4.37,4841.0,12.4
63,8088,品安,58.1,-4.7,-7.48,26W23,06/05,1.16,1012.0,9.52,1.16,1012.0,9.52,1.16,1828.0,18.6
64,3260,威剛,403.0,-18.5,-4.39,26W23,06/05,10.8,10502.0,10.8,10.4,8937.0,9.41,9.94,11751.0,13.4
65,00830,國泰費城半導體,87.9,-6.05,-6.44,26W23,06/05,13.2,10979.0,9.11,12.7,10840.0,9.34,11.8,11790.0,11.1
66,6126,信音,38.3,-4.2,-9.88,26W23,06/05,4.93,2437.0,5.2,4.59,3919.0,9.34,4.51,5752.0,14.6
