"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"190","4953","緯軟","124.5","-3","-2.35","07/13","+0.01","+0.11","+0.03","+0.47","+0.34","-1.33","+1.77","-1.97","+6.65","-4.57","+6.92","+0.89"
"191","00653L","富邦印度正2","46.85","+0.37","+0.8","07/13","+0.05","+0.21","+0.34","+0.47","+1.46","+1.64","+1.6","+2.07","+2.19","+1.8","+133","+1.97"
"192","6517","保勝光學","72","+6.5","+9.92","07/13","+0.49","+0.61","+0.62","+0.47","+0.12","-1.35","-1.11","-1.48","-1.05","-6.42","","+0.27"
"193","3211","順達","457.5","+3.5","+0.77","07/13","-0.8","+2.45","+2.55","+0.46","-0.06","-0.88","+10.8","+9.29","-3.84","+9.29","+4.05","+8.44"
"194","1762","中化生","37.9","-0.25","-0.66","07/13","-0.11","-0.33","-0.38","+0.46","+0.57","+0.67","+0.45","+0.65","-0.21","-7.79","-0.27","+0.61"
"195","2233","宇隆","242.5","-10","-3.96","07/13","+0.24","+0.23","+0.43","+0.46","+1.37","-0.22","+4.27","+2.88","+3.79","+0.8","-3.99","+3.84"
"196","6841","長佳智能","63.5","-1.2","-1.85","07/13","+0.03","+0.11","-0.24","+0.45","+1.04","+1.17","+2.22","+2.48","+2.12","+2.72","","+2.56"
"197","6196","帆宣","551","+2","+0.36","07/13","+0.27","+0.51","+0.44","+0.45","+0.84","+0.01","+1.1","+1.04","+6.52","+10.9","+18.8","+0.36"
"198","6579","研揚","161","-7","-4.17","07/13","+0.06","+0.03","-0.09","+0.45","+0.67","+0.66","+1.38","+1.4","+0.94","+0.24","","+1.34"
"199","3479","安勤","142.5","-3.5","-2.4","07/13","-0.49","+0.43","+0.3","+0.45","+0.85","-0.04","+1.17","-3.37","-4.07","-10","-2.5","-4.07"
"200","6261","久元","92.4","+1","+1.09","07/13","+0.15","+0.25","+0.31","+0.44","+0.84","+0.41","-4.49","+1.06","+2.93","+3.08","+0.68","+1.55"
"201","2415","錩新","36.2","-2.1","-5.48","07/13","-0.22","-0.18","-0.28","+0.44","+0.04","-0.66","-0.47","-0.24","-0.07","+0.74","+1.5","-0.28"
"202","5347","世界","178.5","+5.5","+3.18","07/13","-0.03","+0.03","+0.06","+0.44","-0.39","-1.38","+9.19","+12.6","+17.6","+4.79","-13.2","+15.3"
"203","4961","天鈺","171","-5","-2.84","07/13","-0.47","-0.31","-0.22","+0.44","+0.47","+1.28","+2.08","+1.85","+2.52","+3.24","","+1.43"
"204","1734","杏輝","32.95","-0.15","-0.45","07/13","+0.03","+0.01","+0.02","+0.44","+0.71","+0.97","+0.44","+1.11","+0.98","-2.38","+3.47","+0.95"
"205","2301","光寶科","222","+8.5","+3.98","07/13","+0.24","+0.21","+0.2","+0.44","+1.19","+0.69","+8.94","+8.62","+10.5","+1.22","-12.5","+9.02"
"206","1216","統一","78.5","+0.1","+0.13","07/13","+0.09","+0.11","+0.21","+0.44","+0.51","-0.32","-0.23","-1.11","-5.29","-8.21","-21.9","-1.33"
"207","3556","禾瑞亞","70.4","-5.5","-7.25","07/13","-1.05","-0.86","-1.04","+0.43","-0.51","-1.8","-2.73","-1.46","-1.45","-2.8","-1.45","-1.48"
"208","2404","漢唐","1230","+15","+1.23","07/13","+0.11","+0.36","+0.39","+0.43","+0.71","-0.05","+12.2","+4.69","+5.08","+9.38","+14.4","+4.62"
"209","3680","家登","523","+27","+5.44","07/13","+0.37","+0.37","+0.24","+0.43","+2.52","+2.57","+6.22","+8.88","+2.71","+4.43","+20.2","+10.6"
"210","6456","GIS-KY","70.6","-0.1","-0.14","07/13","+0.01","+0.15","+0.38","+0.43","-0.72","-2.27","-5.26","-8.7","-9.7","-7.4","-20.1","-8.98"
"211","00665L","富邦恒生國企正2","8.61","+0.11","+1.29","07/13","+0.06","-0.1","+0.39","+0.43","+0.56","+0.74","-0.34","+1.51","+3.78","-0.14","","+2.04"
"212","3339","泰谷","36.35","-1.85","-4.84","07/13","+0.37","+0.26","+0.21","+0.42","+0.13","-2.46","-1.96","+0.23","-2.53","-3.61","-17.4","+0.91"
"213","8234","新漢","71.1","-0.2","-0.28","07/13","-0.17","-0.01","+0.37","+0.42","+0.82","+0.71","-0.14","-0.08","+4.35","-2.15","-0.04","-0.29"
"214","00650L","復華香港正2","15.54","+0.19","+1.24","07/13","+0.3","-0.51","+0.85","+0.42","+0.73","+0.75","-1.95","-2.24","+2.04","+24.1","+33","-2.5"
"215","6187","萬潤","1035","-15","-1.43","07/13","-0.41","+0.19","+0.65","+0.42","+0.62","-0.16","-9.35","+7.94","+13.4","+21.4","+18.3","+11.5"
"216","2371","大同","28.1","+0.4","+1.44","07/13","+0.21","+0.38","+0.31","+0.42","+0.88","-0.12","-3.55","-6.88","-4.06","-12.8","-7.95","-6.71"
"217","6174","安碁","56.5","-1.2","-2.08","07/13","+0.07","-0.07","-0.18","+0.41","+1.71","-0.09","+1.94","+1.89","+1.94","+1.47","+2.21","+1.91"
"218","9802","鈺齊-KY","74.7","-0.3","-0.4","07/13","+0.05","+0.28","+0.24","+0.41","+0.58","+0.23","+0.3","-1.35","-0.48","+0.42","+0.94","-2.38"
"219","8162","微矽電子-創","72.5","-5.6","-7.17","07/13","-0.01","-0.11","-0.04","+0.41","+0.55","+0.08","+0.3","+0.14","+0.27","","","+0.08"
"220","00965","元大航太防衛科技","24.81","+0.05","+0.2","07/13","-0.05","-0.02","-0.01","+0.41","+0.72","+1.63","+4.27","+8.7","+9.36","","","+10.3"
"221","6279","胡連","121.5","-1","-0.82","07/13","+0.05","0","+0.01","+0.4","+1.03","+0.82","-2.94","-4.99","-11.8","-5.17","-18.9","-5.31"
