排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
74,6414,樺漢,400.0,5.5,1.39,07/16,0.04,0.11,0.11,0.11,0.11,-2.13,-3.79,-4.84,-1.87,1.39,-2.56,-5.02
75,3708,上緯投控,101.5,-1.0,-0.98,07/16,0.0,0.0,0.0,0.11,0.12,-0.02,0.22,0.74,0.95,-0.83,,0.7
76,1210,大成,58.7,0.7,1.21,07/16,0.04,0.07,0.07,0.11,0.22,0.42,4.57,3.64,2.49,6.81,5.49,3.51
77,3260,威剛,400.5,-7.5,-1.84,07/16,0.01,-0.01,0.04,0.1,0.62,-0.26,-7.34,-10.1,-2.53,-0.65,4.26,-9.93
78,6206,飛捷,125.0,-1.0,-0.79,07/16,0.1,0.1,0.1,0.1,0.1,0.08,0.25,0.16,-5.11,0.58,0.47,-0.81
79,3131,弘塑,3255.0,50.0,1.56,07/16,0.33,0.21,-0.15,0.1,-0.35,2.03,0.99,0.75,-6.68,-0.87,-1.62,0.02
80,6257,矽格,238.0,0.5,0.21,07/16,0.0,0.0,0.06,0.1,0.11,0.27,-4.93,-5.35,-12.1,3.12,3.78,-5.4
81,4966,譜瑞-KY,631.0,-5.0,-0.79,07/16,0.05,0.05,0.04,0.09,0.14,-2.27,2.81,1.73,7.18,3.07,0.17,3.87
82,6282,康舒,53.0,-3.2,-5.69,07/16,0.0,0.0,0.01,0.09,0.39,0.41,0.17,0.3,0.44,0.27,0.5,0.43
83,4904,遠傳,101.0,4.7,4.88,07/16,-0.05,-0.09,-0.07,0.09,0.62,4.1,4.54,3.91,2.68,8.51,11.9,3.92
84,3189,景碩,770.0,-75.0,-8.88,07/16,0.0,0.0,0.0,0.09,-0.05,2.94,2.84,6.09,7.16,2.78,6.6,7.19
85,2027,大成鋼,41.0,-0.3,-0.73,07/16,-0.01,0.04,0.04,0.09,0.19,1.22,-1.67,-0.92,2.34,-0.59,0.34,-0.58
