排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
34,2363,矽統,69.2,2.5,3.75,05/25,-850,-2136,-2373,-2869,-11546,-13592,-19798.0,-22490.0,12743.0,-20807.0
35,5388,中磊,86.4,1.3,1.53,05/25,57,-379,-1440,-2837,-3063,-5798,2182.0,8483.0,7048.0,7217.0
36,2313,華通,298.5,20.5,7.37,05/25,-955,-1262,-3303,-2689,-3113,-7331,8862.0,6196.0,-15412.0,-2306.0
37,3062,建漢,31.25,1.9,6.47,05/25,-1058,-1785,-2212,-2548,55,3145,-3398.0,-6483.0,7501.0,-7951.0
38,3005,神基,103.5,-0.5,-0.48,05/25,-1524,-2253,-3000,-2519,31,-19,34722.0,35175.0,33865.0,35856.0
39,2328,廣宇,56.5,1.7,3.1,05/25,-910,-1278,-1144,-2480,-4292,1486,-6277.0,-8887.0,30542.0,-9967.0
40,1304,台聚,12.15,-0.15,-1.22,05/25,-977,-1032,-1023,-2378,-3083,-3896,24847.0,28939.0,21608.0,24685.0
41,009819,中信數據及電力,10.26,0.09,0.88,05/25,-96,-96,-96,-2340,-2373,-94,,,,
42,3034,聯詠,489.0,3.5,0.72,05/25,-496,-383,-221,-2315,-5715,-5757,-5998.0,2303.0,11324.0,-3066.0
43,2388,威盛,84.2,-3.8,-4.32,05/25,168,-1500,-1606,-2198,-2213,-799,-10237.0,-10068.0,-2297.0,-6016.0
44,4906,正文,44.3,4.0,9.93,05/25,-575,-1010,-2422,-2188,-5431,-5270,20733.0,24875.0,25995.0,23537.0
45,2356,英業達,65.4,5.9,9.92,05/25,-490,-153,-287,-2162,-39995,-84578,-106654.0,-61230.0,-124438.0,-72180.0
46,1904,正隆,19.3,0.2,1.05,05/25,75,-62,-791,-2147,-2242,-1274,-1661.0,-545.0,-4288.0,-410.0
47,6456,GIS-KY,74.6,-1.5,-1.97,05/25,-1417,-2094,-2303,-2107,-1044,1970,3134.0,8593.0,8329.0,5241.0
48,00915,凱基優選高股息30,27.87,0.44,1.6,05/25,-454,-2115,-2029,-2051,-2027,-1599,4389.0,217.0,-8696.0,1517.0
49,1711,永光,51.1,0.0,0.0,05/25,-419,-2086,-2400,-1971,2365,1195,1416.0,1157.0,25787.0,4397.0
50,9914,美利達,68.2,0.4,0.59,05/25,12,65,-1445,-1966,-1432,319,3213.0,3014.0,-4386.0,2881.0
51,3019,亞光,156.5,3.0,1.95,05/25,-1569,-1891,-1467,-1962,-1885,-1549,-1525.0,1348.0,13605.0,3762.0
52,6271,同欣電,243.5,17.0,7.51,05/25,-721,-1042,-1702,-1952,-1902,-853,602.0,2945.0,1177.0,1565.0
53,3189,景碩,669.0,60.0,9.85,05/25,-432,-1602,-2100,-1919,-1691,82,-3268.0,-2169.0,-4257.0,-271.0
