"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2137","1102","亞泥","32.85","-0.1","-0.3","26W28","07/09","19.8","-0.18","20.3","-0.13","79.7","+0.13"
"2138","4166","友霖","24.95","0","0","26W28","07/09","19.7","+0.01","20.8","+0.01","79.2","-0.01"
"2139","2424","隴華","8.63","+0.04","+0.47","26W28","07/09","19","+0.1","20.7","+0.1","79.3","-0.1"
"2140","8411","福貞-KY","12.8","-0.15","-1.16","26W28","07/09","19.7","-0.05","20.9","-0.05","79.1","+0.05"
"2141","5530","龍巖","47.3","+0.05","+0.11","26W28","07/09","19.9","-0.01","20.6","-0.25","79.4","+0.25"
"2142","5450","南良","14.3","+0.1","+0.7","26W28","07/09","21.6","0","21.6","0","78.4","0"
"2143","6171","大城地產","23.8","+0.7","+3.03","26W28","07/09","16.9","0","20.6","0","79.4","0"
"2144","1326","台化","58.9","+0.8","+1.38","26W28","07/09","19.2","+0.3","19.9","+0.36","80.1","-0.36"
"2145","5206","坤悅","22.2","+0.95","+4.47","26W28","07/09","18.3","+0.16","19.8","+0.07","80.2","-0.07"
"2146","5704","老爺知","21.6","-0.15","-0.69","26W28","07/09","19.1","0","20.5","0","79.5","0"
"2147","2724","藝舍-KY","10.9","-0.1","-0.91","26W28","07/09","20.5","0","20.5","0","79.5","0"
"2148","1541","錩泰","21.8","+0.1","+0.46","26W28","07/09","19.3","0","20.5","0","79.5","0"
"2149","2880","華南金","44.4","+0.35","+0.79","26W28","07/09","20.3","-0.14","21","-0.13","79","+0.13"
"2150","8454","富邦媒","283.5","+25.5","+9.88","26W28","07/09","20.2","-0.01","20.2","-0.01","79.8","+0.01"
"2151","5347","世界","143.5","-8","-5.28","26W28","07/09","17","+0.97","18.1","+0.91","81.9","-0.91"
"2152","6952","大武山","38.35","+1.35","+3.65","26W28","07/09","13.3","-0.03","20.2","-0.03","79.8","+0.03"
"2153","6629","泰金-KY","107","+0.5","+0.47","26W28","07/09","20.1","0","20.1","0","79.9","0"
"2154","00734B","台新JPM新興債","15.72","0","0","26W28","07/09","17.4","-0.05","17.4","-0.05","82.6","+0.05"
"2155","3702","大聯大","122.5","-3","-2.39","26W28","07/09","19.9","-0.08","21","+0.06","79","-0.06"
"2156","9950","萬國通","10.45","0","0","26W28","07/09","19.4","-0.14","20.5","+0.4","79.5","-0.4"
"2157","3666","光耀","25.1","0","0","26W28","07/09","19.5","-0.07","20.2","-0.07","79.8","+0.07"
"2158","00725B","國泰投資級公司債","34.49","-0.28","-0.81","26W28","07/09","19.2","+0.03","19.5","+0.05","80.5","-0.05"
"2159","2408","南亞科","457","-2","-0.44","26W28","07/09","19.3","+0.5","19.8","+0.58","80.2","-0.58"
"2160","8488","吉源-KY","10.05","-0.1","-0.99","26W28","07/09","17.3","0","19.7","0","80.3","0"
"2161","7689","大鵬科CLMX","164","0","0","26W28","07/09","11.6","0","11.6","0","88.4","0"
"2162","2885","元大金","67.7","+0.6","+0.89","26W28","07/09","18.7","-0.2","19.4","-0.13","80.6","+0.13"
"2163","8101","華冠","12.5","0","0","26W28","07/09","19.5","0","19.5","0","80.5","0"
