排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
172,00954,中信日本半導體,18.12,0.64,3.66,26W36,09/04,66.2,-0.13,74.1,-0.17,78.5,0.04,80.2,-0.32
173,3483,力致,80.0,1.8,2.3,26W36,09/04,69.0,0.13,74.5,-0.06,78.4,-0.06,81.4,-0.06
174,00912,中信臺灣智慧50,35.15,0.53,1.53,26W36,09/04,71.3,1.54,75.9,1.9,78.3,1.97,79.9,2.65
175,3686,達能,14.2,-0.2,-1.39,26W36,09/04,63.7,-0.07,68.9,-0.31,78.3,-0.52,81.4,0.0
176,00958B,永豐ESG銀行債15+,8.98,0.0,0.0,26W36,09/04,52.8,-0.12,67.4,-0.08,78.3,-0.19,83.2,-0.27
177,2002A,中鋼特,37.3,0.15,0.4,26W36,09/04,62.7,0.13,71.1,0.14,78.2,0.14,85.1,0.18
178,6683,雍智科技,1360.0,-25.0,-1.81,26W36,09/04,52.3,-1.22,61.7,-0.06,78.1,0.09,85.4,0.0
179,1471,首利,9.74,0.01,0.1,26W36,09/04,65.7,-0.05,73.1,0.18,78.1,-0.02,81.7,-0.02
180,3058,立德,8.05,-0.02,-0.25,26W36,09/04,63.1,0.02,71.3,-0.05,78.0,-0.17,81.5,0.04
181,00956,中信日經高股息,13.66,0.01,0.07,26W36,09/04,68.7,0.34,75.8,0.63,78.0,0.63,79.7,-0.71
182,00920,富邦ESG綠色電力,24.65,0.67,2.79,26W36,09/04,73.3,-0.91,76.4,0.01,77.8,0.01,80.4,-2.46
183,00924,復華S&P500成長,33.29,0.5,1.52,26W36,09/04,69.7,0.51,74.8,0.6,77.7,0.52,78.4,0.52
184,00713,元大台灣高息低波,63.45,0.35,0.55,26W36,09/04,72.5,0.15,75.9,0.22,77.6,0.14,78.1,0.2
185,3360,尚立,14.9,0.1,0.68,26W36,09/04,61.6,-0.1,71.2,0.52,77.6,0.55,80.1,0.0
186,4973,廣穎,149.5,3.0,2.05,26W36,09/04,67.3,0.61,72.9,0.6,77.3,0.65,81.1,0.02
187,6588,東典光電,108.5,5.5,5.34,26W36,09/04,62.0,1.13,69.6,1.72,77.3,0.0,79.0,0.0
188,2484,希華,70.4,0.3,0.43,26W36,09/04,72.1,2.0,74.8,1.06,77.2,1.77,80.9,2.18
189,00983A,主動中信ARK創新,12.75,0.54,4.42,26W36,09/04,68.8,3.32,74.1,3.69,76.9,3.57,80.5,4.3
190,3025,星通,52.3,0.3,0.58,26W36,09/04,65.0,0.1,71.2,0.04,76.8,0.04,79.3,-0.04
191,00782B,國泰A級公用債,29.33,0.02,0.07,26W36,09/04,61.6,0.97,69.1,0.4,76.7,-0.66,76.7,-0.66
192,2485,兆赫,41.3,0.6,1.47,26W36,09/04,70.9,0.15,73.7,0.11,76.6,-0.03,78.4,0.06
193,00703,台新MSCI中國,19.62,0.3,1.55,26W36,09/04,56.4,-0.93,66.8,-0.53,76.6,-0.45,76.6,-6.62
194,3062,建漢,20.65,0.25,1.23,26W36,09/04,66.3,0.1,71.4,0.31,76.5,0.25,79.5,0.48
195,00697B,元大美債7-10,35.17,0.01,0.03,26W36,09/04,63.7,-0.21,70.8,-0.52,76.4,-0.21,77.8,-0.9
196,6727,亞泰金屬,541.0,-9.0,-1.64,26W36,09/04,45.6,-2.69,56.2,-1.13,76.4,1.15,87.5,0.34
197,6164,華興,11.95,0.05,0.42,26W36,09/04,59.8,0.01,67.7,0.14,76.4,-0.34,81.5,0.13
198,4133,亞諾法,20.55,0.05,0.24,26W36,09/04,67.7,-0.04,71.0,-0.03,76.4,0.0,80.3,0.0
199,2365,昆盈,29.15,0.0,0.0,26W36,09/04,70.3,-0.04,74.1,-0.02,76.3,-0.24,78.2,-0.06
200,009813,貝萊德標普卓越50,11.4,0.18,1.6,26W36,09/04,63.2,-0.12,71.2,-0.32,76.3,-0.67,79.4,-0.55
201,3540,曜越,23.65,0.45,1.94,26W36,09/04,67.5,0.37,72.7,0.86,76.2,-0.01,77.3,0.06
202,5272,笙科,16.9,0.0,0.0,26W36,09/04,66.2,-0.26,71.6,-0.03,76.1,-0.75,81.2,0.0
203,00645,富邦日本,58.0,0.25,0.43,26W36,09/04,63.4,-0.61,70.0,-0.29,76.0,-0.43,80.5,-1.61
204,2406,國碩,27.25,0.2,0.74,26W36,09/04,66.8,0.58,71.8,0.47,75.9,0.54,78.0,0.3
205,00793B,群益AAA-A醫療債,29.75,0.13,0.44,26W36,09/04,46.9,-14.9,46.9,-14.9,75.8,-24.2,75.8,-24.2
206,6788,華景電,352.5,-2.5,-0.7,26W36,09/04,61.1,-0.06,68.0,-0.39,75.7,0.13,81.7,0.0
207,3228,金麗科,174.0,3.0,1.75,26W36,09/04,65.5,-0.34,71.4,-0.33,75.7,0.01,78.1,0.01
208,3059,華晶科,39.3,0.85,2.21,26W36,09/04,65.9,0.6,71.0,0.78,75.6,0.23,78.1,0.83
209,6152,百一,13.8,0.25,1.85,26W36,09/04,60.1,-0.07,68.5,0.44,75.6,0.37,78.3,0.12
210,2405,輔信,15.1,0.1,0.67,26W36,09/04,63.7,-0.22,70.4,0.06,75.6,0.1,78.0,0.15
211,2471,資通,50.2,0.2,0.4,26W36,09/04,65.3,-0.03,71.5,-0.03,75.6,-1.02,86.5,0.0
212,00407A,主動凱基台灣,9.73,0.17,1.78,26W36,09/04,57.3,0.02,68.2,0.05,75.6,0.12,79.4,0.27
