" "," ","#","股票代號/名稱","類別","20260211","0226","0306","0313","0320","0327"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","88","3714富采","光電","-0.17","0.71","0.31","0.69","0.32","0.18"," ","10","2.04"," ","45.45","47.75","-0.95"," "
" "," ","89","6202盛群","半導體","1.94","1.45","0.33","-0.63","-1.17","0.11"," ","31","2.03"," ","35.51","49.25","-1.15"," "
" "," ","90","2363矽統","半導體","0.25","0.08","0.71","0.53","0.31","0.15"," ","10","2.03"," ","32.91","48.60","-0.30"," "
" "," ","91","1476儒鴻","紡織","0.46","-0.08","3.29","-0.57","-0.46","-0.61"," ","30","2.03"," ","84.97","334.00","-9.50"," "
" "," ","92","2382廣達","電腦週邊","0.44","0.60","0.56","0.05","0.23","0.12"," ","30","2.00"," ","83.78","281.00","-8.00"," "
" "," ","93","911608明輝-DR","存託憑證","0.03","0.15","0.10","1.44","0.15","0.12"," ","10","1.99"," ","26.23","2.95","-0.01"," "
" "," ","94","6205詮欣","電子零組件","0.01","0.57","0.65","-0.08","0.09","0.72"," ","50","1.96"," ","44.80","54.50","-1.80"," "
" "," ","95","1597直得","電機","0.23","-0.94","0.40","0.49","0.16","1.61"," ","31","1.95"," ","49.80","87.30","1.90"," "
" "," ","96","2483百容","電子零組件","0.51","0.41","0.31","0.21","0.44","0.07"," ","30","1.95"," ","63.37","20.95","-0.10"," "
" "," ","97","3023信邦","電子零組件","0.65","0.29","-0.08","0.39","0.15","0.52"," ","31","1.92"," ","67.86","255.50","-8.00"," "
" "," ","98","2347聯強","電子通路","0.22","0.30","0.09","0.06","0.69","0.46"," ","30","1.82"," ","88.05","76.90","-2.90"," "
" "," ","99","910322康師傅-DR","存託憑證","0.92","0.33","0.22","0.12","0.14","0.08"," ","30","1.81"," ","28.97","25.90","1.00"," "
" "," ","100","6671三能-KY","居家","0.02","0.02","0.03","0.76","0.17","0.81"," ","31","1.81"," ","74.40","29.75","-0.05"," "
" "," ","101","3708上緯投控","綠能","-0.44","0.60","-2.69","2.80","1.06","0.46"," ","10","1.79"," ","55.75","126.50","4.00"," "
" "," ","102","4540全球傳動","電機","-0.51","1.00","1.29","-0.13","-0.04","0.17"," ","50","1.78"," ","38.49","42.20","-1.35"," "
" "," ","103","2415錩新","電子零組件","0.11","0.58","0.00","-0.01","0.72","0.37"," ","30","1.77"," ","64.39","29.15","-0.75"," "
" "," ","104","2488漢平","其他電子","-0.18","0.15","0.44","0.09","0.50","0.76"," ","50","1.76"," ","50.89","48.15","-0.20"," "
" "," ","105","3033威健","電子通路","1.06","1.04","0.21","-0.10","2.35","-2.80"," ","30","1.76"," ","32.45","32.30","-0.20"," "
" "," ","106","2049上銀","電機","0.07","-0.48","2.24","-0.11","-0.60","0.63"," ","31","1.75"," ","64.60","247.00","12.00"," "
" "," ","107","2489瑞軒","光電","5.10","4.10","4.85","-0.87","0.11","-11.54"," ","30","1.75"," ","43.02","32.70","-2.35"," "
" "," ","108","2467志聖","電子零組件","0.29","0.21","2.59","-0.33","0.10","-1.11"," ","30","1.75"," ","70.13","404.00","-10.50"," "
" "," ","109","1714和桐","化學","0.14","0.64","0.13","-0.11","0.74","0.21"," ","30","1.75"," ","61.98","9.90","0.20"," "
