" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1516川飛","其他","13.82","13.82","13.82","32","0.00"," ","5,531","5,531","5,531","32","0","20.65","0.20"," "
" "," ","","1517利奇","電機","10.74","10.9","10.9","40","0.16"," ","23,983","23,983","23,983","32","0","11.40","0.10"," "
" "," ","","1519華城","電機","17.79","17.79","17.79","32","0.00"," ","56,216","56,216","56,216","32","0","834.00","-31.00"," "
" "," ","","1521大億","汽車","59.82","59.82","59.82","32","0.00"," ","45,602","45,602","45,602","32","0","25.05","0.20"," "
" "," ","","1522堤維西","汽車","8.43","8.43","8.43","32","0.00"," ","28,920","28,920","28,920","32","0","32.00","-0.35"," "
" "," ","","1524耿鼎","汽車","26.69","26.69","26.69","32","0.00"," ","44,130","44,130","44,130","32","0","30.00","-0.50"," "
" "," ","","1525江申","汽車","76.82","76.82","76.82","32","0.00"," ","56,391","56,391","56,391","32","0","61.70","0.30"," "
" "," ","","1526日馳","電機","27.95","27.95","27.95","32","0.00"," ","16,771","16,771","16,771","32","0","16.85","-0.20"," "
" "," ","","1527鑽全","電機","14.76","14.77","14.77","40","0.01"," ","20,461","20,468","20,470","50","9","32.65","0.00"," "
" "," ","","1528恩德","電機","6.63","6.63","6.63","32","0.00"," ","12,700","12,700","12,700","32","0","24.50","-0.95"," "
" "," ","","1529樂事綠能","電機","12.27","12.27","12.27","32","0.00"," ","19,043","19,043","19,043","32","0","23.55","-0.75"," "
" "," ","","1530亞崴","電機","50.84","50.84","50.84","32","0.00"," ","48,092","48,092","48,092","32","0","26.60","-0.15"," "
" "," ","","1531高林股","電機","25.17","25.17","25.17","32","0.00"," ","45,850","45,850","45,850","32","0","12.60","-0.20"," "
" "," ","","1532勤美","電機","22.3","22.49","22.67","50","0.37"," ","94,264","95,084","95,819","50","1,555","21.80","-0.30"," "
" "," ","","1533車王電","汽車","31.28","31.28","31.28","32","0.00"," ","30,835","30,835","30,835","32","0","29.70","-0.30"," "
" "," ","","1535中宇","電機","59.96","59.96","59.96","32","0.00"," ","74,204","74,204","74,204","32","0","53.30","0.00"," "
" "," ","","1536和大","汽車","11.81","11.81","11.8","20","-0.01"," ","32,966","32,966","32,939","20","-27","49.90","-1.10"," "
" "," ","","1537廣隆","電機","10.22","10.22","10.34","41","0.12"," ","8,393","8,393","8,490","41","97","123.50","-0.50"," "
" "," ","","1538正峰","電機","54.72","54.72","54.72","32","0.00"," ","17,675","17,675","17,675","32","0","13.20","-0.10"," "
" "," ","","1539巨庭","電機","14.9","14.9","14.9","32","0.00"," ","9,742","9,742","9,742","32","0","16.75","-0.20"," "
" "," ","","1540喬福","電機","20.88","20.88","20.88","32","0.00"," ","17,850","17,850","17,850","32","0","21.90","-0.50"," "
" "," ","","1541錩泰","電機","31.97","31.97","31.97","32","0.00"," ","25,194","25,194","25,194","32","0","25.65","-0.15"," "
" "," ","","1558伸興","電機","9.7","9.7","9.64","20","-0.06"," ","6,456","6,456","6,420","20","-36","92.50","0.00"," "
" "," ","","1560中砂","電機","14.69","14.68","14.6","10","-0.09"," ","21,636","21,636","21,636","32","0","449.00","-10.50"," "
" "," ","","1563巧新","汽車","6.16","6.16","6.16","32","0.00"," ","14,231","14,231","14,231","32","0","44.20","4.00"," "
" "," ","","1568倉佑","汽車","15.34","15.43","15.67","50","0.33"," ","15,818","15,907","16,159","50","341","22.50","-0.20"," "
" "," ","","1582信錦","電子零組件","11.35","11.46","12.16","50","0.81"," ","16,377","16,547","17,547","50","1,170","102.00","0.00"," "
" "," ","","1583程泰","電機","10.01","10.01","10.01","32","0.00"," ","10,956","10,957","10,957","40","1","44.50","-0.30"," "
" "," ","","1587吉茂","汽車","25.86","25.86","25.86","32","0.00"," ","20,710","20,710","20,710","32","0","34.45","-0.60"," "
" "," ","","1589永冠-KY","電機","7.83","7.83","7.83","32","0.00"," ","11,993","11,993","11,993","32","0","6.84","-0.36"," "
" "," ","","1590亞德客-KY","電機","3.84","3.84","3.84","32","0.00"," ","7,699","7,699","7,689","20","-10","987.00","-3.00"," "
" "," ","","1597直得","電機","15.13","15.13","15.13","32","0.00"," ","13,507","13,507","13,507","32","0","87.30","1.90"," "
" "," ","","1598岱宇","運動","9.81","9.81","9.83","41","0.02"," ","17,575","17,575","17,625","41","50","19.55","0.30"," "
" "," ","","1603華電","電器電纜","7.92","7.92","7.92","32","0.00"," ","15,200","15,200","15,200","32","0","32.45","-0.10"," "
" "," ","","1604聲寶","電器電纜","5.52","5.52","5.52","32","0.00"," ","21,228","21,228","21,228","32","0","25.30","0.00"," "
" "," ","","1605華新","電器電纜","10.79","10.79","10.79","32","0.00"," ","478,359","478,359","478,359","32","0","30.55","-0.20"," "
" "," ","","1608華榮","電器電纜","33.58","33.58","33.58","32","0.00"," ","212,501","212,501","212,501","32","0","31.75","-0.25"," "
" "," ","","1609大亞","電器電纜","4.89","4.89","4.86","20","-0.03"," ","38,470","38,442","38,185","10","-285","32.50","0.35"," "
" "," ","","1611中電","電器電纜","6.13","6.13","6.13","32","0.00"," ","19,801","19,801","19,801","32","0","12.25","-0.15"," "
" "," ","","1612宏泰","電器電纜","12.54","12.59","12.59","40","0.05"," ","39,659","39,812","39,812","40","153","34.85","-0.45"," "
" "," ","","1614三洋電","電器電纜","33.4","33.4","33.4","32","0.00"," ","89,890","89,890","89,890","32","0","31.85","-0.75"," "
" "," ","","1615大山","電器電纜","18.42","18.42","18.42","32","0.00"," ","36,226","36,226","36,226","32","0","45.55","-0.35"," "
" "," ","","1616億泰","電器電纜","10.7","10.7","10.7","32","0.00"," ","20,774","20,774","20,774","32","0","23.30","-0.40"," "
" "," ","","1617榮星","電器電纜","42.02","42.02","42.02","32","0.00"," ","71,231","71,231","71,231","32","0","14.55","-0.05"," "
" "," ","","1618合機","電器電纜","35.83","35.83","35.83","32","0.00"," ","69,061","69,061","69,061","32","0","39.10","-0.70"," "
" "," ","","1623大東電","電器電纜","-","-","40.82","41",""," ","-","-","26,947","41","","183.00","-8.00"," "
" "," ","","1626艾美特-KY","電器電纜","7.65","7.72","7.72","40","0.07"," ","11,474","11,574","11,574","40","100","10.15","0.00"," "
" "," ","","1702南僑","食品","17.61","17.61","17.61","32","0.00"," ","51,817","51,817","51,817","32","0","35.95","-0.05"," "
" "," ","","1707葡萄王","生技醫療業","17.09","17.09","17.09","32","0.00"," ","25,320","25,320","25,320","32","0","122.50","0.50"," "
" "," ","","1708東鹼","化學","11.89","11.89","11.89","32","0.00"," ","29,615","29,615","29,615","32","0","42.65","-0.45"," "
" "," ","","1709和益","化學","18.48","18.48","18.48","32","0.00"," ","88,180","88,180","88,180","32","0","18.25","0.05"," "
" "," ","","1710東聯","化學","10.06","10.06","10.06","32","0.00"," ","89,184","89,184","89,184","32","0","15.55","0.60"," "
" "," ","","1711永光","化學","18.31","18.3","18.27","10","-0.04"," ","100,298","100,273","100,123","10","-175","38.10","-0.90"," "
" "," ","","1712興農","化學","18.46","18.88","19.21","50","0.75"," ","77,631","79,399","80,783","50","3,152","44.90","0.80"," "
" "," ","","1713國化","化學","23.7","23.7","23.7","32","0.00"," ","35,784","35,784","35,784","32","0","47.40","-0.25"," "
" "," ","","1714和桐","化學","10.69","10.69","10.69","32","0.00"," ","106,113","106,113","106,113","32","0","9.90","0.20"," "
" "," ","","1717長興","化學","14.39","14.39","14.39","32","0.00"," ","168,772","168,772","168,692","20","-80","60.30","-1.40"," "
" "," ","","1718中纖","化學","5.71","5.71","5.71","32","0.00"," ","96,323","96,323","96,323","32","0","7.67","0.13"," "
" "," ","","1720生達","生技醫療業","14.89","14.89","14.89","32","0.00"," ","26,608","26,608","26,608","32","0","63.40","0.70"," "
" "," ","","1721三晃","化學","9.36","9.36","9.36","32","0.00"," ","17,314","17,314","17,314","32","0","18.20","-0.25"," "
" "," ","","1722台肥","化學","24.07","24.07","24.07","32","0.00"," ","235,888","235,888","235,888","32","0","46.35","0.45"," "
